text,target
"đồng cảm, thương 🫂","đồng cảm, thương 🫂"
"Chuyện hài ngày Tết: Bố tôi đi kể với họ hàng,bạn bè,hàng xóm về việc ông ấy đã tát t và rồi ai cũng biết rằng ông ấy gia trưởng.","Chuyện hài ngày Tết: Bố tôi đi kể với họ hàng,bạn bè,hàng xóm về việc ông ấy đã tát tôi và rồi ai cũng biết rằng ông ấy gia trưởng."
bố tui là con 3 nhưng do bác cả thì do cãi nhau với bà nên mn cũng coi như không có,bố tui là con 3 nhưng do bác cả thì do cãi nhau với bà nên mọi người cũng coi như không có
còn bác 2 with bố tui siêu gia trưởng luôn,còn bác 2 với bố tui siêu gia trưởng luôn
"gắng đến lúc đi học,đi làm để thoát khỏi căn nhà ấy thoii","gắng đến lúc đi học,đi làm để thoát khỏi căn nhà ấy thôi"
cực kì ghét,cực kì ghét
Thật sự phải nói rằng tôi rất ghét những ông bô gia trưởng bởi vì tôi cũng có một ng cha gia trưởng 💔🥀,Thật sự phải nói rằng tôi rất ghét những ông bô gia trưởng bởi vì tôi cũng có một người cha gia trưởng 💔🥀
yeah đá vía có bố gia trưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰,yeah đá vía có bố gia trưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰
"giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền","giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền"
ai biết sau lưng ngta bàn tán gì,ai biết sau lưng người ta bàn tán gì
t muốn khuyên mẹ li hôn lắm rồi đấy,tôi muốn khuyên mẹ li hôn lắm rồi đấy
Gia trưởng hay khoe mắng chửi vợ con trước mặt người khác để tỏ ra mình là ng đứng trên có uy quyền,Gia trưởng hay khoe mắng chửi vợ con trước mặt người khác để tỏ ra mình là người đứng trên có uy quyền
thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nha là mấy ổng sẽ tự cho rằng vị trí của mình đang bị lung lay,thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nhà là mấy ổng sẽ tự cho rằng vị trí của mình đang bị lung lay
đối phương đang đe dọa và nổi khùng lên,đối phương đang đe dọa và nổi khùng lên
"Đm thương bạn vl, t đã căm thù bố t vì cái tánh đó rồi nhưng ko ngờ còn có nhiều hoàn cảnh khốn đốn hơn, đồng cảm 🫂","Đm thương bạn vl, tôi đã căm thù bố tôi vì cái tánh đó rồi nhưng không ngờ còn có nhiều hoàn cảnh khốn đốn hơn, đồng cảm 🫂"
"t từng phải uống thuốc ng.ủ (nghiêm túc, t bị bệnh và đây là thuốc kê đơn thôi nhe).","tôi từng phải uống thuốc ngủ (nghiêm túc, tôi bị bệnh và đây là thuốc kê đơn thôi nhe)."
T nghe lời bác sĩ uống thử trước 2 viên/lần/ngày xong đêm hôm đó t bị s.ốc thuốc nhẹ.,Tôi nghe lời bác sĩ uống thử trước 2 viên/lần/ngày xong đêm hôm đó tôi bị sốc thuốc nhẹ.
Hên cửu huyền nhà t thấy t lượn dưới âm phủ nên túm t lại rồi đá đí.t t về vội 🙏🙏🙏🙏🙏 may là không bị làm sao,Hên cửu huyền nhà tôi thấy tôi lượn dưới âm phủ nên túm tôi lại rồi đá đí.t tôi về vội 🙏🙏🙏🙏🙏 may là không bị làm sao
"Cái này là may nhưng trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mình chuyện môn chọc con mèo ở nhà.","Cái này là may nhưng trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mình chuyên môn chọc con mèo ở nhà."
"Cứ lấy đuôi nó cho vào ống chỉ, bữa đó nó khùng lên quay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là vô con mắt rồi.","Cứ lấy đuôi nó cho vào ống chỉ, bữa đó nó khùng lên quay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là vô con mắt rồi."
Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nữa là thành cướp biển vùng Caribbean rồi 🤣,Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nữa là thành cướp biển vùng Caribbean rồi 🤣
chân để nổi lên mặt nước nma bị c bé đấy kéo nên t cứ chìm xuống.,chân để nổi lên mặt nước nhưng mà bị con bé đấy kéo nên tôi cứ chìm xuống.
Ê ns tht tưởng lđấy sắp chết r tại uống bnh nước thì may có 1 nhóm mấy ô bơi ra cứu xong kéo 2 đứa vào bờ,Ê nói thật tưởng lúc đấy sắp chết rồi tại uống bao nhiêu nước thì may có 1 nhóm mấy ông bơi ra cứu xong kéo 2 đứa vào bờ
k có mấy ổng chắc 2 tụi t chầu trời r t cảm thấy t đã dùng hết may mắn cuộc đời t vào c lần đấy r,không có mấy ổng chắc 2 tụi tôi chầu trời rồi tôi cảm thấy tôi đã dùng hết may mắn cuộc đời tôi vào cái lần đấy rồi
Pov : Kể những lần may mắn nhất trong cuộc đời bạn T trước hồi 5 tuổi mẹ t kể là t bị sốt 38 độ rưỡi,Pov : Kể những lần may mắn nhất trong cuộc đời bạn Tôi trước hồi 5 tuổi mẹ tôi kể là tôi bị sốt 38 độ rưỡi
vừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì t lên cơn co giật thế là bác sĩ chữa luôn :))),vừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì tôi lên cơn co giật thế là bác sĩ chữa luôn :)))
"1 case là vừa bị lay off, 1 case là vì chán.","1 case là vừa bị lay off, 1 case là vì chán."
Cả hai đều đang expect mức lương 18-20tr.,Cả hai đều đang expect mức lương 18-20 triệu.
Ngành thì nhỏ nên dễ dàng biết mức lương hiện tại của các bạn thấp hơn rất nhiều ↓,Ngành thì nhỏ nên dễ dàng biết mức lương hiện tại của các bạn thấp hơn rất nhiều ↓
"""Cứ deal lương cao như mức em muốn đi, điều tệ nhất có thể là gì nhỉ?""","""Cứ deal lương cao như mức em muốn đi, điều tệ nhất có thể là gì nhỉ?"""
“Nếu em mạnh thì em ko cần theo phe ai.,“Nếu em mạnh thì em không cần theo phe ai.
Nếu em yếu em cũng ko cần theo phe ai.,Nếu em yếu em cũng không cần theo phe ai.
"Người mạnh họ ko cần người yếu, người yếu càng ko thích người mạnh làm thủ lĩnh.","Người mạnh họ không cần người yếu, người yếu càng không thích người mạnh làm thủ lĩnh."
Họ sẽ ko hãm hại em để tạo phốt cho phe khác nắm.,Họ sẽ không hãm hại em để tạo phốt cho phe khác nắm.
Em chỉ có thể an toàn nếu em trung lập.”,Em chỉ có thể an toàn nếu em trung lập.”
cười vl con vợ,cười vl con vợ
"2k2, 2k3 đi làm ĐÒI LƯƠNG 18 - 20tr là có BỊ ẢO không?","2k2, 2k3 đi làm ĐÒI LƯƠNG 18 - 20 triệu là có BỊ ẢO không?"
Topic: kể về một ng có mindset đỉnh nhất mà bạn từng gặp,Topic: kể về một người có mindset đỉnh nhất mà bạn từng gặp
Hôm rồi khi lướt Threads,Hôm rồi khi lướt Threads
mình có đọc được câu chuyện của một chị HR phỏng vấn 2 ứng viên gen Z (sinh năm 2002 & 2003) cho vị trí Junior,mình có đọc được câu chuyện của một chị HR phỏng vấn 2 ứng viên gen Z (sinh năm 2002 & 2003) cho vị trí Junior
cả hai đều mới tốt nghiệp có kinh nghiệm trainee 3 tháng đi làm công ty kinh nghiệm dưới 6 tháng và muốn nhảy.,cả hai đều mới tốt nghiệp có kinh nghiệm trainee 3 tháng đi làm công ty kinh nghiệm dưới 6 tháng và muốn nhảy.
Đm điều tệ nhất là đăng lên threads ạ,Đm điều tệ nhất là đăng lên threads ạ
t đi thi bằng lái thi xong thì t bắt xe về nhà t đã chờ cả sáng để đc thi thực hành nhưng ko,tôi đi thi bằng lái thi xong thì tôi bắt xe về nhà tôi đã chờ cả sáng để được thi thực hành nhưng không
ngta đẩy t sang thi ca chiều và t khóc trước mấy chục con người vì ko cho t thi sớm để về nhà,người ta đẩy tôi sang thi ca chiều và tôi khóc trước mấy chục con người vì không cho tôi thi sớm để về nhà
cũng may là ngta mủi lòng thương châm chước đẩy t thi trước chứ ko t khóc lụt đà nẵng😇,cũng may là người ta mủi lòng thương châm chước đẩy tôi thi trước chứ không tôi khóc lụt đà nẵng😇
hãm vị mom,hãm vị mom
"Hầu như lần nào t cx khóc âm thầm và 1 mình vì sợ làm phiền mn và khiến bản thân ""tội nghiệp""","Hầu như lần nào tôi cũng khóc âm thầm và 1 mình vì sợ làm phiền mọi người và khiến bản thân ""tội nghiệp"""
nên cũng chả biết cảm giấc ấy như thế nào,nên cũng chả biết cảm giác ấy như thế nào
thật ra khóc mà càng bị mắng là vì họ muốn phủ định cảm xúc của bạn thoi.,thật ra khóc mà càng bị mắng là vì họ muốn phủ định cảm xúc của bạn thôi.
"Khóc trong giờ học vì thầy quên cho kiểm tra bù( vì hôm kt t nghỉ), mà hết hki rồi nên thầy nhập đại 5đ.","Khóc trong giờ học vì thầy quên cho kiểm tra bù( vì hôm kiểm tra tôi nghỉ), mà hết học kì rồi nên thầy nhập đại 5 điểm."
Khóc xong thầy thương quá cho 10đ😛,Khóc xong thầy thương quá cho 10 điểm😛
thi thử đc 6đ văn xong ngồi khóc huhu cô thấy tội quá cho lên... 7đ 🤣,thi thử được 6 điểm văn xong ngồi khóc huhu cô thấy tội quá cho lên... 7 điểm 🤣
TOPIC: HÃY KỂ RA 1 LẦN CHÚNG MÀY THẤY KHÓC ĐÚNG LÚC ĐÚNG THỜI ĐIỂM LẠI CÓ TÁC DỤNG SIÊU PEAK ĐI,TOPIC: HÃY KỂ RA 1 LẦN CHÚNG MÀY THẤY KHÓC ĐÚNG LÚC ĐÚNG THỜI ĐIỂM LẠI CÓ TÁC DỤNG SIÊU PEAK ĐI
Đa số là vô nghĩa luôn á bác=)))) Càng khót càng bị mắng mà lúc nín xong nghĩ lại thấy quê vl💔,Đa số là vô nghĩa luôn á bác=)))) Càng khóc càng bị mắng mà lúc nín xong nghĩ lại thấy quê vl💔
siêu đồng cảm tại t cũng từng bị blhđ vì thằng mà nhỏ kia thích tỏ ra thân thiết với t nên nhỏ đó ghét t^^ tối về t chỉ biết khóc 1 mình giờ thì đỡ roi,siêu đồng cảm tại tôi cũng từng bị bạo lực học đường vì thằng mà nhỏ kia thích tỏ ra thân thiết với tôi nên nhỏ đó ghét tôi^^ tối về tôi chỉ biết khóc 1 mình giờ thì đỡ rồi
Uh ok nhà bác học,Uh ok nhà bác học
"ụa tui lúc nào nói mà ko đúng, có mặt bà lì ko thèm nghe á","ụa tui lúc nào nói mà không đúng, có mặt bà lì không thèm nghe á"
"Nhiều khi nghĩ nói dối v cũng k mất dì mà k làm bồ giận, chứ k hẳn là có ý xấu.","Nhiều khi nghĩ nói dối vậy cũng không mất gì mà không làm bồ giận, chứ không hẳn là có ý xấu."
Nhma chúng toi muốn nghe lời thành thật,Nhưng mà chúng tôi muốn nghe lời thành thật
có thể là giận nhma ít ra chúng toii biết đuộc các anh đang nói thật nên chúng toii thấy an toàn hơn 🥹,có thể là giận nhưng mà ít ra chúng tôi biết được các anh đang nói thật nên chúng tôi thấy an toàn hơn 🥹
"Ncl nhiều lí do dẫn đến vc nói dối, nma để bị phát hiện thì trường hợp nào cũng vậy th, bạn sẽ ăn cức💩","Nói chung là nhiều lí do dẫn đến việc nói dối, nhưng mà để bị phát hiện thì trường hợp nào cũng vậy thôi, bạn sẽ ăn cức💩"
thành thật được khoan hồng =))) chứ nói dối k tốt chút lào,thành thật được khoan hồng =))) chứ nói dối không tốt chút nào
"Thật sự khi chị em chúng t hỏi thì các anh nên thành thật Tụi này sẽ bỏ qua nếu ""được nghe""sự thật và thái độ nhận lỗi.","Thật sự khi chị em chúng tôi hỏi thì các anh nên thành thật Tụi này sẽ bỏ qua nếu ""được nghe""sự thật và thái độ nhận lỗi."
Chứ biết thừa luôn,Chứ biết thừa luôn
"Nma ai chả ph nói dối nhỉ, hồi có ny mình nói dối mẹ đi chơi với ny mà...","Nhưng mà ai chả phải nói dối nhỉ, hồi có người yêu mình nói dối mẹ đi chơi với người yêu mà..."
[GÓC THẮC MẮC] Tại sao mấy ông con trai lại có cái suy nghĩ nói dối ny để đỡ bị giận z???,[GÓC THẮC MẮC] Tại sao mấy ông con trai lại có cái suy nghĩ nói dối người yêu để đỡ bị giận vậy???
:))) ý là cả kể chị e chúng toi có giận thì cũng chỉ tại thời điểm đấy thôi chứ nói dối thế sau mà chúng toi phát hiện ra thì chuyện lúc đấy là to rồi nha :))),:))) ý là cả kể chị em chúng tôi có giận thì cũng chỉ tại thời điểm đấy thôi chứ nói dối thế sau mà chúng tôi phát hiện ra thì chuyện lúc đấy là to rồi nha :)))
con gái ngta đã biết r thì ngta mới hỏi,con gái người ta đã biết rồi thì người ta mới hỏi
chủ yếu để xem đối phương có muốn nói thật với mình ko thôi nma ko hiểu sao vẫn chọn nói dối.,chủ yếu để xem đối phương có muốn nói thật với mình không thôi nhưng mà không hiểu sao vẫn chọn nói dối.
Mà nếu ko muốn ngta bt thì đừng có làm:))))),Mà nếu không muốn người ta biết thì đừng có làm:)))))
"Được rồi, tôi đã đăng lại.","Được rồi, tôi đã đăng lại."
Xin đừng nói nữa 😭,Xin đừng nói nữa 😭
nó sợ bị phát hiện nên mới biện minh như thế thôi =))),nó sợ bị phát hiện nên mới biện minh như thế thôi =)))
Ê bà này nói đúng ý tui :)))),Ê bà này nói đúng ý tui :))))
Chắc do t bị ngu nên đứa nào mà hỏi hỏi tí là t khai tuốt tuồn tuột 💔😞 (ý là kể chiện gd có mức độ và cũng thân quen ở 1 mức độ nào đó),Chắc do tôi bị ngu nên đứa nào mà hỏi hỏi tí là tôi khai tuốt tuồn tuột 💔😞 (ý là kể chuyện gia đình có mức độ và cũng thân quen ở 1 mức độ nào đó)
real má kiểu dễ nch tí cảm giác kể đc là kể luôn=),real má kiểu dễ nói chuyện tí cảm giác kể được là kể luôn=)
cái giống gì cũng biết 🤡,cái giống gì cũng biết 🤡
mới lỡ chiều nay,mới lỡ chiều nay
"MOI HẾT RUỘT GAN RA ĐỂ KỂ VÌ NGHĨ LÀ BẠN THÂN, ĐÃ HỐI HẬN🙌🏻","MOI HẾT RUỘT GAN RA ĐỂ KỂ VÌ NGHĨ LÀ BẠN THÂN, ĐÃ HỐI HẬN🙌🏻"
"FACT: CÓ THÂN CỠ NÀO CŨNG KHÔNG ĐƯỢC KỂ CHUYỆN GIA ĐÌNH, RÕ CHƯA CÁC CON VK !","FACT: CÓ THÂN CỠ NÀO CŨNG KHÔNG ĐƯỢC KỂ CHUYỆN GIA ĐÌNH, RÕ CHƯA CÁC CON VK !"
kể hết cuộc đời rồi giờ sao,kể hết cuộc đời rồi giờ sao
"thề sai lầm vcl 🙏🏻 chơi thân gần 3 năm,tin tưởng mới dám kể :) ai ngờ nó chơi cho 1 vố nhớ đời","thề sai lầm vcl 🙏🏻 chơi thân gần 3 năm,tin tưởng mới dám kể :) ai ngờ nó chơi cho 1 vố nhớ đời"
"t thấy lúc soft nhất là ảnh bảo "" thích gì cứ mua , anh để nhiều tiền đi chơi với em lắm "" mà lúc đó là first date","tôi thấy lúc soft nhất là ảnh bảo "" thích gì cứ mua , anh để nhiều tiền đi chơi với em lắm "" mà lúc đó là first date"
"Ny mình hỏi em có bóc được card Martin ko và thấy mình cười nên ảnh ""vậy là bóc trúng rồi"" r ảnh còn cười toe toét hơn mình","Người yêu mình hỏi em có bóc được card Martin không và thấy mình cười nên ảnh ""vậy là bóc trúng rồi"" rồi ảnh còn cười toe toét hơn mình"
Siêu nhẹ nhành và ngọt ngào cấp 3 + đại học nắng mưa đều đưa đi rước về nhậu say anh đón,Siêu nhẹ nhàng và ngọt ngào cấp 3 + đại học nắng mưa đều đưa đi rước về nhậu say anh đón
tết vừa rồi nhập viện từ 29 đến m4 anh trông miết lúc nào cũng Anh đây .,tết vừa rồi nhập viện từ 29 đến mùng 4 anh trông miết lúc nào cũng Anh đây .
thg ck mình kê tay cho mình ngủ tới sáng,thằng chồng mình kê tay cho mình ngủ tới sáng
mỏi quá thì ngồi dậy đổi bên =))) xong t cựa mình thì vỗ nhẹ lưng t cho t vô giấc lại,mỏi quá thì ngồi dậy đổi bên =))) xong tôi cựa mình thì vỗ nhẹ lưng tôi cho tôi vô giấc lại
mà t ngủ mê quá là t sẽ tự động tách ra để ngủ 1 chỗ rộng hơn thì ck t sẽ kéo t lại ôm tiếp,mà tôi ngủ mê quá là tôi sẽ tự động tách ra để ngủ 1 chỗ rộng hơn thì chồng tôi sẽ kéo tôi lại ôm tiếp
qtrong là luôn giữ ấm cho t lun,quan trọng là luôn giữ ấm cho tôi luôn
"nhà mình thanh mai trúc mã từ bé, mối tình đầu kẹo bông, học trò r trưởng thành cùng nhau, siêu soft nổi tiếng yêu chiều mình.","nhà mình thanh mai trúc mã từ bé, mối tình đầu kẹo bông, học trò rồi trưởng thành cùng nhau, siêu soft nổi tiếng yêu chiều mình."
"Giờ 2 mụn con rồi muốn báo công an, lười vch :))) nhắc nhở thì bảo em thấy ai câu đc cá còn cho ăn mồi ko.","Giờ 2 mụn con rồi muốn báo công an, lười vch :))) nhắc nhở thì bảo em thấy ai câu được cá còn cho ăn mồi không."
"các em gái đang iu tranh thủ ""củ hành"" vào nhé, lấy về lười chảy thây ra đấy 😆","các em gái đang yêu tranh thủ ""củ hành"" vào nhé, lấy về lười chảy thây ra đấy 😆"
đọc cmt mới biết phải cho bản thân thời gian vì những điều tốt đẹp thường đến muộn,đọc cmt mới biết phải cho bản thân thời gian vì những điều tốt đẹp thường đến muộn
Kể về 1 hành động mà bạn thấy siêu soft đến từ ny✅,Kể về 1 hành động mà bạn thấy siêu soft đến từ người yêu✅
"Quen nhau từ năm lớp 10, đến này gần 20 năm yêu nhau, cưới đc 10 năm, vẫn chăm chỉ lột vỏ tôm và lột cua cho mình.","Quen nhau từ năm lớp 10, đến này gần 20 năm yêu nhau, cưới được 10 năm, vẫn chăm chỉ lột vỏ tôm và lột cua cho mình."
・T k muốn có con t có chia sẻ với ẻm xong ẻm bảo ksao còn nghiên cứu cả cách thắt ống ctct nữa,・Tôi không muốn có con tôi có chia sẻ với ẻm xong ẻm bảo không sao còn nghiên cứu cả cách thắt ống ctct nữa
"Khổ thân quá, giờ cuộc sống E ổn chưa??","Khổ thân quá, giờ cuộc sống Em ổn chưa??"
Trải qua từng ấy chuyện nhưng bạn vẫn là một người tử tế thì rất đáng quý trọng,Trải qua từng ấy chuyện nhưng bạn vẫn là một người tử tế thì rất đáng quý trọng
dạ con cảm ơn cô!,dạ con cảm ơn cô!
Chúc em mọi điều tốt đẹp trong cuộc sống.,Chúc em mọi điều tốt đẹp trong cuộc sống.
ủa bà này xưa hay up hình trong group lắm ak xịn vãi còn tự may crochet nữa cơ,ủa bà này xưa hay up hình trong group lắm á xịn vãi còn tự may crochet nữa cơ
"Respect bạn 🔥🔥🔥 chúc bạn năm mới nhiều sức khoẻ và bình an, hãy giữ trái tim luôn kiên cường như vậy nha 👍👍","Respect bạn 🔥🔥🔥 chúc bạn năm mới nhiều sức khoẻ và bình an, hãy giữ trái tim luôn kiên cường như vậy nha 👍👍"
Đúng rồi chính là toyyy :>>>,Đúng rồi chính là tôi :>>>
Ôm bạn một cái nhé🫶 năm mới chúc bạn nhiều sức khỏe và may mắn ạ🥰,Ôm bạn một cái nhé🫶 năm mới chúc bạn nhiều sức khỏe và may mắn ạ🥰
Cuộc sống có nhiều cám dổ khi con thiếu thốn quá nhiều từ tc,Cuộc sống có nhiều cám dỗ khi con thiếu thốn quá nhiều từ tình cảm
đến vận chất nhg con đầy nghị lực tin vào bản thân ko sa ngả để đánh đổi khi là con gái Chúc con vui khỏe,đến vật chất nhưng con đầy nghị lực tin vào bản thân không sa ngã để đánh đổi khi là con gái Chúc con vui khỏe
hp với nhg gì mình đả làm được và nhg ngày tháng tiếp theo con sẻ trưởng thành và thành công hơn trg cuộc sống,hạnh phúc với những gì mình đã làm được và những ngày tháng tiếp theo con sẽ trưởng thành và thành công hơn trong cuộc sống
Khoảnh khắc tất cả mọi thứ tồi tệ đến cùng 1 lúc,Khoảnh khắc tất cả mọi thứ tồi tệ đến cùng 1 lúc
người yêu không chung thuỷ + bất ngờ nhận ra công việc chính ko là đam mê + thi chứng chỉ TA thì bị móc túi mất cccd & 3 triệu tiền mặt.,người yêu không chung thuỷ + bất ngờ nhận ra công việc chính không là đam mê + thi chứng chỉ tiếng Anh thì bị móc túi mất cccd & 3 triệu tiền mặt.
Là mình của tháng 3 năm ấy.,Là mình của tháng 3 năm ấy.
Nhìn lại vẫn thấy hoài niệm.,Nhìn lại vẫn thấy hoài niệm.
