,text,target
86,t ik thi bằng lái thi xog thì t bắt xe về nhà t đã vhowf dar sáng để đc thi thực hành nhg ko,tôi đi thi bằng lái thi xong thì tôi bắt xe về nhà tôi đã chờ cả sáng để được thi thực hành nhưng không
87,ngta đẩy t szng thi ca chiều và t khóc trc mấy chuxj c ng dì ko cho t thi sớm để về nhà,người ta đẩy tôi sang thi ca chiều và tôi khóc trước mấy chục con người vì không cho tôi thi sớm để về nhà
88,cx may là ngta mủi olngf thw hcaam chước đẩy t thi trc chues ko t khóc lụt đà nẵng😇,cũng may là người ta mủi lòng thương châm chước đẩy tôi thi trước chứ không tôi khóc lụt đà nẵng😇
89,hãm zị mom,hãm vị mom
90,"Hầu như lần nzof t cx khpcs âm thầm và 1 mh vì sợ lm phiền mn và khiến bthan ""tội ngheiepj""","Hầu như lần nào tôi cũng khóc âm thầm và 1 mình vì sợ làm phiền mọi người và khiến bản thân ""tội nghiệp"""
91,nên cũng hcar bk cảm giấc ấy ntn,nên cũng chả biết cảm giác ấy như thế nào
92,tht ra khóc mà càng bị mắng là vì họ muốn phủ định carm súc của b thoi.,thật ra khóc mà càng bị mắng là vì họ muốn phủ định cảm xúc của bạn thôi.
93,"Khóc trg h hok vì thầy wueen cho kt bù( vì hôm kt t nghỉ), mà hết hki r nên thầy nhập đại 5đ.","Khóc trong giờ học vì thầy quên cho kiểm tra bù( vì hôm kiểm tra tôi nghỉ), mà hết học kì rồi nên thầy nhập đại 5 điểm."
94,Khóc xog thầy thương qá cho 10đ😛,Khóc xong thầy thương quá cho 10 điểm😛
95,thi thử đc 6đ văn xog ngồi hkocs huhu cô thấy tội qs cho nên... 7đ 🤣,thi thử được 6 điểm văn xong ngồi khóc huhu cô thấy tội quá cho lên... 7 điểm 🤣
96,TOPIC: HÃY KỂ RA 1 LẦN CMAY THẤY KOHCS ĐÚNG LÚC ĐÚNG THỜI ĐIỂM LẠI CÓ TÁC DỤNG SIÊU PEAK IKKKK,TOPIC: HÃY KỂ RA 1 LẦN CHÚNG MÀY THẤY KHÓC ĐÚNG LÚC ĐÚNG THỜI ĐIỂM LẠI CÓ TÁC DỤNG SIÊU PEAK ĐI
97,Đa số là zô nghĩa lun á bác=)))) Càng khót canfg bị mắng mà núc nín xog nghĩ lại thấy quê vl💔,Đa số là vô nghĩa luôn á bác=)))) Càng khóc càng bị mắng mà lúc nín xong nghĩ lại thấy quê vl💔
98,sieue đồng cảm tại t cx từng bị blhđ vì thg mà nhỏ kia thk tỏ ra thân thiết vs t nên nhỏ đó ghét t^^ tối zề t chỉ bt khóc 1 m g thì đỡ roi,siêu đồng cảm tại tôi cũng từng bị bạo lực học đường vì thằng mà nhỏ kia thích tỏ ra thân thiết với tôi nên nhỏ đó ghét tôi^^ tối về tôi chỉ biết khóc 1 mình giờ thì đỡ rồi
99,Yh ok nhà bác hc,Uh ok nhà bác học
100,"ụa tui lúc nào ns mà ki đúng, có mặt bà lì ko thèm nghe á","ụa tui lúc nào nói mà không đúng, có mặt bà lì không thèm nghe á"
101,"Nh khi nghĩ ns rối v cx k mất dì mà k lm bồ giận, chứ k hẳn là ocs ý xấu.","Nhiều khi nghĩ nói dối vậy cũng không mất gì mà không làm bồ giận, chứ không hẳn là có ý xấu."
102,Nhma dhungs toi muốn nghe nời thành tht,Nhưng mà chúng tôi muốn nghe lời thành thật
103,có thể là giận nhma ít ra chúng toii bik dudoocj các ank đg ns tht lên chúng otii thấy an toàn hơn 🥹,có thể là giận nhưng mà ít ra chúng tôi biết được các anh đang nói thật nên chúng tôi thấy an toàn hơn 🥹
104,"Ncl nh lí do giẫn đến vc ns dối, nmz để bị phát hiện thì trg hợp nào cug z th, b sẽ ăn cức💩","Nói chung là nhiều lí do dẫn đến việc nói dối, nhưng mà để bị phát hiện thì trường hợp nào cũng vậy thôi, bạn sẽ ăn cức💩"
105,thành tht dc khoan hồng =))) trứ ns dối k tốt chút lào,thành thật được khoan hồng =))) chứ nói dối không tốt chút nào
106,"Tht sự khi ce chúng t hỏi thì các ah nên thành tht Tụi này sẽ bỏ qa nếu ""được nghe""sự tht và thái độ nhận nỗi.","Thật sự khi chị em chúng tôi hỏi thì các anh nên thành thật Tụi này sẽ bỏ qua nếu ""được nghe""sự thật và thái độ nhận lỗi."
107,Chứ bt thừa luôn,Chứ biết thừa luôn
108,"Nma ai chả ph ns dối nhỉ, hồi có ny m ns dối mẹ ik trơi zới ny mà...","Nhưng mà ai chả phải nói dối nhỉ, hồi có người yêu mình nói dối mẹ đi chơi với người yêu mà..."
109,[GÓC THAWSC MAQCS] Tsao mấy ông ctrai liaj có cái snghi ns dối ly để đỡ bị giận z???,[GÓC THẮC MẮC] Tại sao mấy ông con trai lại có cái suy nghĩ nói dối người yêu để đỡ bị giận vậy???
110,:))) ý là xar kể c e chúng toi có giận thì cũg chỉ tại thời điểm đấy thui chứ ns dối z sau mà chúng toi phát hiện rq thì chuyện lúc đấy là to r nka :))),:))) ý là cả kể chị em chúng tôi có giận thì cũng chỉ tại thời điểm đấy thôi chứ nói dối thế sau mà chúng tôi phát hiện ra thì chuyện lúc đấy là to rồi nha :)))
111,cgai ngta đã bk r thì ngta ms hỏi,con gái người ta đã biết rồi thì người ta mới hỏi
112,chủ yếu để xem đối phương có muốn ns thật zới m ko thui lma ko hiểu s vẫn dhonj ns dối.,chủ yếu để xem đối phương có muốn nói thật với mình không thôi nhưng mà không hiểu sao vẫn chọn nói dối.
113,Mà nếu ko muoins ngta bt thì đừng có lm:))))),Mà nếu không muốn người ta biết thì đừng có làm:)))))
114,"Dc r, tôi đã đăng paij.","Được rồi, tôi đã đăng lại."
115,Sin đừng ns nx 😭,Xin đừng nói nữa 😭
116,ló sợ bị phát hiện nên ms biện minh nthe thui =))),nó sợ bị phát hiện nên mới biện minh như thế thôi =)))
117,Ê bà lày ns đúng ý tui :)))),Ê bà này nói đúng ý tui :))))
118,Chắc do t bị ngu nên đứa nào mà hỏi hỏi tí là t khsi tuiots tuồn tuột 💔😞 (ý lzf kể ciheenj gd có mức độ và cx thân quen ở 1 mức độ nào đó),Chắc do tôi bị ngu nên đứa nào mà hỏi hỏi tí là tôi khai tuốt tuồn tuột 💔😞 (ý là kể chuyện gia đình có mức độ và cũng thân quen ở 1 mức độ nào đó)
119,real má keieur dễ nch tí cgiac kể ddv nà kể lun=),real má kiểu dễ nói chuyện tí cảm giác kể được là kể luôn=)
120,cái zống j cũg biết 🤡,cái giống gì cũng biết 🤡
121,ms loux chiều nay,mới lỡ chiều nay
122,"MOI HẾT RUỘT GAN RA ĐỂ KỂ ZÌ NGHĨ LÀ BN THÂN, ĐÃ HỐI HẬN🙌🏻","MOI HẾT RUỘT GAN RA ĐỂ KỂ VÌ NGHĨ LÀ BẠN THÂN, ĐÃ HỐI HẬN🙌🏻"
123,"AFCT: CÓ THÂN CỠ LÀO CX K ĐC KỂ CHUYỆN GD, RÕ CHƯA CÁC C VK !","FACT: CÓ THÂN CỠ NÀO CŨNG KHÔNG ĐƯỢC KỂ CHUYỆN GIA ĐÌNH, RÕ CHƯA CÁC CON VK !"
124,kể hết cuộc đời r zờ s,kể hết cuộc đời rồi giờ sao
125,"thề xai lầm vcl 🙏🏻 chs thân gần 3 năm,tin tưởng ms dám kể :) ai ngờ n chs cho 1 vố nhớ đời","thề sai lầm vcl 🙏🏻 chơi thân gần 3 năm,tin tưởng mới dám kể :) ai ngờ nó chơi cho 1 vố nhớ đời"
126,"t thấy lúc soft nhất là ảnh bảo "" thk j cứ mua , ah để nh tiền ik chs zới em lắm "" mà lúc đó nà first date","tôi thấy lúc soft nhất là ảnh bảo "" thích gì cứ mua , anh để nhiều tiền đi chơi với em lắm "" mà lúc đó là first date"
127,"Ly m hỏi em có bóc đc card Martin ko và thấy m cười nên ảnh ""vậy là bóc trúng r"" r ảnh còn cười toe toét hơn mh","Người yêu mình hỏi em có bóc được card Martin không và thấy mình cười nên ảnh ""vậy là bóc trúng rồi"" rồi ảnh còn cười toe toét hơn mình"
128,Siêu nhẹ nhành và ngọt ngào cấp 3 + đh nắng mưa đều đưa ik rước về nhậu say ah đón,Siêu nhẹ nhàng và ngọt ngào cấp 3 + đại học nắng mưa đều đưa đi rước về nhậu say anh đón
129,tết vừa r nhập viện từ 29 đến m4 ah trông miết núc nào cx Ank đây .,tết vừa rồi nhập viện từ 29 đến mùng 4 anh trông miết lúc nào cũng Anh đây .
130,thg ck mk kê tay tro mik ngủ tới sáng,thằng chồng mình kê tay cho mình ngủ tới sáng
131,mỏi qá thì ngồi dậy đổi bên =))) xog t cựa mk thì vỗ nhẹ lưng t cho t zô giấc lại,mỏi quá thì ngồi dậy đổi bên =))) xong tôi cựa mình thì vỗ nhẹ lưng tôi cho tôi vô giấc lại
132,mà t ngủ mê qá alf t sẽ tự động tách ra để ngủ 1 chỗ dộng hơn thì ck t sẽ kéo t lại ôm tiếp,mà tôi ngủ mê quá là tôi sẽ tự động tách ra để ngủ 1 chỗ rộng hơn thì chồng tôi sẽ kéo tôi lại ôm tiếp
133,qtrong là lun dữ ấm cho t lun,quan trọng là luôn giữ ấm cho tôi luôn
134,"nhà m thsnh mai tfucs mã từ bé, mối tình đầu kẹo bông, hc trò r trưởng thành cùng nhqu, siêu soft nổi tiếng yêu chiều m.","nhà mình thanh mai trúc mã từ bé, mối tình đầu kẹo bông, học trò rồi trưởng thành cùng nhau, siêu soft nổi tiếng yêu chiều mình."
135,"H 2 mụn c r muốn báo coogn an, nười vch :))) nhắc nhở thì bảo em thấy ai câu đc cá còn cho ăn mồi ko.","Giờ 2 mụn con rồi muốn báo công an, lười vch :))) nhắc nhở thì bảo em thấy ai câu được cá còn cho ăn mồi không."
136,"các em gái đag iu teanh thủ ""củ hành"" vào nhé, lấy về lười chảy thây ra đấy 😆","các em gái đang yêu tranh thủ ""củ hành"" vào nhé, lấy về lười chảy thây ra đấy 😆"
137,đọc cmt mới bt ph cho bản thân tgian dì nhx điều tốt đẹp thường đến muộn,đọc cmt mới biết phải cho bản thân thời gian vì những điều tốt đẹp thường đến muộn
138,Kể về 1 hành động mà b thấy sieey osft đến từ ny✅,Kể về 1 hành động mà bạn thấy siêu soft đến từ người yêu✅
139,"Quen nhau từ năm lớp 10, đến này gần 20 năm yêu nhau, cưới ddv 10 năm, vẫn chăm chỉ lột vỏ tôm và nột cua cho mk.","Quen nhau từ năm lớp 10, đến này gần 20 năm yêu nhau, cưới được 10 năm, vẫn chăm chỉ lột vỏ tôm và lột cua cho mình."
140,・T k muốn có c t có chia xẻ vs ẻm xog ẻm bảo ksao còn nghiên cứu cả cách thắt ống ctdt nx,・Tôi không muốn có con tôi có chia sẻ với ẻm xong ẻm bảo không sao còn nghiên cứu cả cách thắt ống ctct nữa
141,"Khổ thân qá, giờ cs E ổn trưa??","Khổ thân quá, giờ cuộc sống Em ổn chưa??"
142,Trải qa từng ấy chuyện nhg b vẫn là một ng tử tế thì zất đáng wuys trọng,Trải qua từng ấy chuyện nhưng bạn vẫn là một người tử tế thì rất đáng quý trọng
143,zạ cn csmr ơn cô!,dạ con cảm ơn cô!
144,Trúc em mọi ddeieuf tốt đẹp trg csong.,Chúc em mọi điều tốt đẹp trong cuộc sống.
145,uae bà này sưa hay up hình trg group lắm ak xịn vãi còn tự may crochet nx cơ,ủa bà này xưa hay up hình trong group lắm á xịn vãi còn tự may crochet nữa cơ
146,"Respect b 🔥🔥🔥 chúc bn năm ms nh suucs khoẻ và bình na, hãy giữ ttais tim luôn kiên cường nvay nka 👍👍","Respect bạn 🔥🔥🔥 chúc bạn năm mới nhiều sức khoẻ và bình an, hãy giữ trái tim luôn kiên cường như vậy nha 👍👍"
147,Đr chính oaf toyyy :>>>,Đúng rồi chính là tôi :>>>
148,Ôm b một cái nhé🫶 lăm ms chúc bạn nh skhoe và may mắn ạ🥰,Ôm bạn một cái nhé🫶 năm mới chúc bạn nhiều sức khỏe và may mắn ạ🥰
149,Cs có nhiều dams giổ khi c thiếu thốn qs nh từ tc,Cuộc sống có nhiều cám dỗ khi con thiếu thốn quá nhiều từ tình cảm
150,đến vận chất nhg cn đầy nghị lực tin vào bthan ko sa ngả để đánh đổi khi là cgai Chuds c zui khỏe,đến vật chất nhưng con đầy nghị lực tin vào bản thân không sa ngã để đánh đổi khi là con gái Chúc con vui khỏe
151,hp zới nhg j mình đả lm đk và nhg ngày tháng tiếp theo cn sẻ truwonwgr thành và thành công hơn trg csong,hạnh phúc với những gì mình đã làm được và những ngày tháng tiếp theo con sẽ trưởng thành và thành công hơn trong cuộc sống
152,Khpanhr khắc tất cả mọi thứ tồi tệ đến cùng 1 núc,Khoảnh khắc tất cả mọi thứ tồi tệ đến cùng 1 lúc
