
Câu gốc,Câu chuẩn hóa
"bb hnay ăn giỏi lắm cj khỏi lo","em bé hôm nay ăn giỏi lắm chị khỏi lo"
"cmsn a trai t nay mua bánh kem lmj","chúc mừng sinh nhật anh trai tao nay mua bánh kem làm gì"
"cmnm chúc cả nhà năm mới mạnh khỏe","chúc mừng năm mới chúc cả nhà năm mới mạnh khỏe"
"SK ko ổn t đi BV khám rồi","sức khỏe không ổn tao đi bệnh viện khám rồi"
"sk mxh hôm nay có lmj vui ko ae","sự kiện mạng xã hội hôm nay có làm gì vui không anh em"
"BV Răng Hàm Mặt đg giảm giá m ơi","bệnh viện Răng Hàm Mặt đang giảm giá mày ơi"
"bcs có bán ở trạm xá ko m nhỉ","bao cao su có bán ở trạm xá không mày nhỉ"
"klq nha bả đzai nma hơi chảnh","không liên quan nha bạn ấy đẹp trai nhưng mà hơi chảnh"
"tks a đã giúp e dọn phòng hwa nha","cảm ơn anh đã giúp em dọn phòng hôm qua nha"
"cv dạo này áp lực mún nghỉ ghê m ạ","công việc dạo này áp lực muốn nghỉ ghê mày ạ"
"gđ ổng đg ở quê lên thăm ổng","gia đình ông ấy đang ở quê lên thăm ông ấy"
"nyc nhắn tin làm t rối quá m ơi","người người yêu cũ nhắn tin làm tao rối quá mày ơi"
"cđm lùng ra in4 ổng nhanh thật sự","cộng đồng mạng lùng ra thông tin ông ấy nhanh thật sự"
"nym m nhìn dth s chịu nổi ae ơi","người yêu mới mày nhìn dễ thương sao chịu nổi anh em ơi"
"kb ig đi t fl lại cho m nha","kết bạn Instagram đi tao theo dõi lại cho mày nha"
"sr a e vừa mới onl nên chx rep","xin lỗi anh em vừa mới trực tuyến nên chưa trả lời"
"t chiều nay chx lmj đg bùn ngủ","tao chiều nay chưa làm gì đang buồn ngủ"
"đr bả nói thích thằng đó từ lâu r","đúng rồi bạn ấy nói thích thằng đó từ lâu rồi"
"mh m ms đi làm về để t đón","mấy giờ mày mới đi làm về để tao đón"
"thik ăn gì cnay t bao m nha","thích ăn gì chiều nay tao bao mày nha"
"bthg t hay đi bộ buổi sáng cho khỏe","bình thường tao hay đi bộ buổi sáng cho khỏe"
"đc r m đợi t xíu t chuẩn bị xong","được rồi mày đợi tao xíu tao chuẩn bị xong"
"ừm m đi cẩn thận nha nngon nhé","ừm mày đi cẩn thận nha ngủ ngon nhé"
"uk t onl rồi m nói tiếp đi hóng","ừ tao trực tuyến rồi mày nói tiếp đi hóng"
"um acp xl bả đi bả buồn lắm đó","ừm đồng ý Zalo bạn ấy đi bạn ấy buồn lắm đó"
"r j trl ib t nha đg có việc","rồi gì trả lời nhắn tin tao nha đang có việc"
"giề m nói gì t nghe ko rõ mạng lag","gì mày nói gì tao nghe không rõ mạng lag"
"rep lẹ nha bả đg chờ tin m đó","trả lời lẹ nha bạn ấy đang chờ tin mày đó"
"off FB lmj z bùn chán r à m","ngoại tuyến Facebook làm gì vậy buồn chán rồi à mày"
"avt mới đổi slay qtqd lun m ạ","ảnh đại diện mới đổi xuất sắc quá trời quá đất luôn mày ạ"
"ntn rồi ổng có nhắn tin lại ko","như thế nào rồi ông ấy có nhắn tin lại không"
"nnao ms đúng rồi hở mn t rối","như nào mới đúng rồi hở mọi người tao rối"
"nnay t khóc thật chứ đùa j đâu","như này tao khóc thật chứ đùa gì đâu"
"đtr dz wa ngta iu m mất rồi","đẹp trai đẹp trai quá người ta yêu mày mất rồi"
"depzai iu bả lém bít ko m ơi","đẹp trai yêu bạn ấy lắm biết không mày ơi"
"eo cr r mà ko dám kết bạn fb","yêu người mình thích rồi mà không dám kết bạn fb"
"z zạy thui m nghỉ đi t bận xíu","vậy vậy thôi mày nghỉ đi tao bận xíu"
"v dậy t về trước m nha pp ae","vậy vậy tao về trước mày nha tạm biệt anh em"
"dthuongg đth ms mua hả m bao tiền","dễ thương điện thoại mới mua hả mày bao tiền"
"cj ae m đg lmj z đi cf ko","chị anh em mày đang làm gì vậy đi cf không"
"típ nx ko ae đg hóng bả nói nè","tiếp nữa không anh em đang hóng bạn ấy nói này"
"th thui nngon m nha t tắt máy","thôi thôi ngủ ngon mày nha tao tắt máy"
"thoai ce e ms về mệt lắm rồi m","thôi chị em em mới về mệt lắm rồi mày"
"ace onl tt ko vô hóng drama lẹ","anh chị em trực tuyến Tiktok không vô hóng drama lẹ"
"đag lmj đó rep mess t lẹ m ơi","đang làm gì đó trả lời Messenger tao lẹ mày ơi"
"dg ms lói xog ổng off lun rồi b","đang mới nói xong ông ấy ngoại tuyến luôn rồi bạn"
"cx cũg bthg mà s ngta ns ghê z","cũng cũng bình thường mà sao người ta nói ghê vậy"
"hnay m có đi học không đợi t với","hôm nay mày có đi học không đợi tao với"
"cậu ăn cơm chx tối đi lượn phố ko","cậu ăn cơm chưa tối đi lượn phố không"
"tks b đã nhắc tớ nhé suýt quên","cảm ơn bạn đã nhắc tớ nhé suýt quên"
"gđ mình chuẩn bị đi du lịch rồi","gia đình mình chuẩn bị đi du lịch rồi"
"tối nay b rảnh thì qua t chơi nha","tối nay bạn rảnh thì qua tao chơi nha"
"bả dth thế này bảo sao ko mê","bạn ấy dễ thương thế này bảo sao không mê"
"ổng đang bận cv ở trên văn phòng","ông ấy đang bận công việc ở trên văn phòng"
"sao m lại làm hỏng đồ của t z","sao mày lại làm hỏng đồ của tao vậy"
"cđm lại bắt đầu soi mói rồi mệt ghê","cộng đồng mạng lại bắt đầu soi mói rồi mệt ghê"
"nym của a ấy nhìn hiền lành quá","người yêu mới của anh ấy nhìn hiền lành quá"
"cv dạo này mệt mỏi qá t mún nghỉ","công việc dạo này mệt mỏi quá tao muốn nghỉ"
"mìn mới mua cái áo này đẹp ko","mình mới mua cái áo này đẹp không"
"đr chuyện đó t bít lâu rồi m","đúng rồi chuyện đó tao biết lâu rồi mày"
"sr nãy t ngủ quên ko nghe máy","xin lỗi nãy tao ngủ quên không nghe máy"
"nyc dạo này hay đăng ảnh buồn thế","người yêu cũ dạo này hay đăng ảnh buồn thế"
"slay thật sự bộ áo dài của bà đẹp quá","xuất sắc thật sự bộ áo dài của bà đẹp quá"
"stt của phường mới đăng bác xem chưa","trạng thái của phường mới đăng bác xem chưa"
"tag tôi vào cái ảnh họp lớp hôm nọ nhé","gắn thẻ tôi vào cái ảnh họp lớp hôm nọ nhé"
"tcn của hội mình nên đăng tin hữu ích","trang cá nhân của hội mình nên đăng tin hữu ích"
"tk ngân hàng của tôi đang bị lỗi","tài khoản ngân hàng của tôi đang bị lỗi"
"thg bé nhà tôi nay được học bổng rồi","thằng bé nhà tôi nay được học bổng rồi"
"toxic quá thì mình đừng xem làm gì","tiêu cực quá thì mình đừng xem làm gì"
"tus này nói đúng thực trạng xã hội đấy","bài viết này nói đúng thực trạng xã hội đấy"
"up bài bán hàng mà ko ai tương tác","lên bài bán hàng mà không ai tương tác"
"vv nha các cháu chú đi du lịch đây","vui vẻ nha các cháu chú đi du lịch đây"
"xh bây giờ cái gì cũng phải nhanh","xu hướng bây giờ cái gì cũng phải nhanh"
"cđm đang kêu gọi ủng hộ đồng bào","cộng đồng mạng đang kêu gọi ủng hộ đồng bào"
"klq nma vườn rau nhà bác tốt quá","không liên quan nhưng mà vườn rau nhà bác tốt quá"
"qtqd luôn ông ấy làm giàu từ hai bàn tay trắng","quá trời quá đất luôn ông ấy làm giàu từ hai bàn tay trắng"
"nyc của tôi giờ cũng đã có cháu nội","người yêu cũ của tôi giờ cũng đã có cháu nội"
"nym của chú ấy là người cùng quê","người yêu mới của chú ấy là người cùng quê"
"kb với tôi để tôi gửi danh sách hàng","kết bạn với tôi để tôi gửi danh sách hàng"
"tks anh đã nhắc tôi lịch họp chiều nay","cảm ơn anh đã nhắc tôi lịch họp chiều nay"
"sr tôi bận tưới cây nên ko cầm máy","xin lỗi tôi bận tưới cây nên không cầm máy"
"cv nhà nông dạo này vất vả lắm cháu","công việc nhà nông dạo này vất vả lắm cháu"
"gđ tôi sang tuần có giỗ cụ","gia đình tôi sang tuần có giỗ cụ"
"mìn định mua thêm ít cây cảnh về chơi","mình định mua thêm ít cây cảnh về chơi"
"mik dạo này hay đau nhức xương khớp","mình dạo này hay đau nhức xương khớp"
"mk xin lỗi vì lỡ hẹn buổi trà chiều","mình xin lỗi vì lỡ hẹn buổi trà chiều"
"bh giá nông sản đang bấp bênh quá","bây giờ giá nông sản đang bấp bênh quá"
"bây h tôi ra đồng xíu có gì gọi sau","bây giờ tôi ra đồng xíu có gì gọi sau"
"h này mà bác chưa đi ngủ à","giờ này mà bác chưa đi ngủ à"
"ch thấy ông ấy đi họp chi bộ","chưa thấy ông ấy đi họp chi bộ"
"chx ăn cơm nên tôi hơi mệt","chưa ăn cơm nên tôi hơi mệt"
"mh xe khách chạy bác nhớ để ý nhé","mấy giờ xe khách chạy bác nhớ để ý nhé"
"bt thế này tôi đã ko nhận lời","biết thế này tôi đã không nhận lời"
"bít đâu mai trời lại nắng đẹp","biết đâu mai trời lại nắng đẹp"
"bik đường rồi bác cứ yên tâm","biết đường rồi bác cứ yên tâm"
"thik uống trà hơn là uống cà phê","thích uống trà hơn là uống cà phê"
"bthg tôi hay dậy từ 5h sáng tập thể dục","bình thường tôi hay dậy từ 5h sáng tập thể dục"
"bth thôi làm gì mà bác nóng thế","bình thường thôi làm gì mà bác nóng thế"
"bình thg tôi vẫn đi chợ sớm mua đồ tươi","bình thường tôi vẫn đi chợ sớm mua đồ tươi"
"đc lời như cởi tấm lòng cảm ơn bác","được lời như cởi tấm lòng cảm ơn bác"
"dc ngày nghỉ tôi lại dọn dẹp nhà cửa","được ngày nghỉ tôi lại dọn dẹp nhà cửa"
"vs tôi thì sức khỏe là quan trọng nhất","với tôi thì sức khỏe là quan trọng nhất"
"ừm để tôi xem lại sổ sách đã","ừm để tôi xem lại sổ sách đã"
"uk có gì tôi sẽ báo lại sau","ừ có gì tôi sẽ báo lại sau"
"um nngon nhé mọi người tôi tắt máy","ừm ngủ ngon nhé mọi người tôi tắt máy"
"acp lời mời của tôi trong nhóm nhé","đồng ý lời mời của tôi trong nhóm nhé"
"r bao giờ bác định sang tôi chơi","rồi bao giờ bác định sang tôi chơi"
"j mà bác cứ cuống lên thế","gì mà bác cứ cuống lên thế"
"giề cũng được miễn là ae vui vẻ","gì cũng được miễn là anh em vui vẻ"
"trl thư mời này giúp tôi với nhé","trả lời thư mời này giúp tôi với nhé"
"rep tin nhắn tôi gửi ảnh cháu nội cho","trả lời tin nhắn tôi gửi ảnh cháu nội cho"
"off mạng đi cho tâm hồn thanh thản","ngoại tuyến mạng đi cho tâm hồn thanh thản"
"avt của hội cựu giáo chức mình đẹp đấy","ảnh đại diện của hội cựu giáo chức mình đẹp đấy"
"lmj thì cũng phải có cái tâm bác ạ","làm gì thì cũng phải có cái tâm bác ạ"
"lm ơn chỉ giúp tôi đường ra bưu điện","làm ơn chỉ giúp tôi đường ra bưu điện"
"lms để chăm sóc cây lan này tốt nhất","làm sao để chăm sóc cây lan này tốt nhất"
"ntn là bác phạm luật giao thông rồi","như thế nào là bác phạm luật giao thông rồi"
"nnao cũng phải giữ lấy cái đức cháu ạ","như nào cũng phải giữ lấy cái đức cháu ạ"
"nnay thì hỏng hết cả mẻ kẹo rồi","như này thì hỏng hết cả mẻ kẹo rồi"
"đtr mà hành xử thiếu văn hóa quá","đẹp trai mà hành xử thiếu văn hóa quá"
"đtrai mà ko chịu làm ăn thì vứt","đẹp trai mà không chịu làm ăn thì vứt"
"dz thế kia chắc con nhà gia giáo","đẹp trai thế kia chắc con nhà gia giáo"
"đzai nhưng tính tình hơi nóng nảy","đẹp trai nhưng tính tình hơi nóng nảy"
"đz ngời ngời thế mà vẫn độc thân","đẹp trai ngời ngời thế mà vẫn độc thân"
"depzai quá cũng khổ bác nhỉ","đẹp trai quá cũng khổ bác nhỉ"
"iu con cháu là bản năng của người già","yêu con cháu là bản năng của người già"
"eo ôi cái hoa này thơm thế bác ơi","yêu ôi cái hoa này thơm thế bác ơi"
"cr của cháu nhà tôi là cô giáo đấy","người mình thích của cháu nhà tôi là cô giáo đấy"
"z thì chốt phương án xây cổng nhé","vậy thì chốt phương án xây cổng nhé"
"zạy là bác đồng ý giúp tôi rồi nhé","vậy là bác đồng ý giúp tôi rồi nhé"
"v thui tôi về sắc thuốc cho bà nhà","vậy thôi tôi về sắc thuốc cho bà nhà"
"dậy sớm để hít thở không khí trong lành","vậy sớm để hít thở không khí trong lành"
"dth dã man cái nết đứa cháu tôi","dễ thương dã man cái nết đứa cháu tôi"
"dthuongg quá trời cái mũ bác đan","dễ thương quá trời cái mũ bác đan"
"đth của tôi lại hết tiền rồi","điện thoại của tôi lại hết tiền rồi"
"cj nhà bác khéo tay hay làm quá","chị nhà bác khéo tay hay làm quá"
"ae mình tình nghĩa nặng sâu","anh em mình tình nghĩa nặng sâu"
"típ tục duy trì nếp sống văn minh","tiếp tục duy trì nếp sống văn minh"
"nx đi tôi vẫn đang lắng nghe bác","nữa đi tôi vẫn đang lắng nghe bác"
"th chuyện đã qua hãy để nó qua","thôi chuyện đã qua hãy để nó qua"
"thui đừng chấp nhặt trẻ con làm gì","thôi đừng chấp nhặt trẻ con làm gì"
"thoi mình cứ dĩ hòa vi quý cho xong","thôi mình cứ dĩ hòa vi quý cho xong"
"thoai tôi đi nghỉ đây mệt quá rồi","thôi tôi đi nghỉ đây mệt quá rồi"
"ce phụ nữ mình giỏi việc nước đảm việc nhà","chị em phụ nữ mình giỏi việc nước đảm việc nhà"
"e xin phép bác cho cháu nhà tôi về","em xin phép bác cho cháu nhà tôi về"
"ace trong họ tộc nên đùm bọc nhau","anh chị em trong họ tộc nên đùm bọc nhau"
"onl thì xem ảnh tôi chụp vườn lan","trực tuyến thì xem ảnh tôi chụp vườn lan"
"đag chuẩn bị mâm cơm cúng tổ tiên","đang chuẩn bị mâm cơm cúng tổ tiên"
"đg tính chuyện đầu tư cho cháu học","đang tính chuyện đầu tư cho cháu học"
"dg làm vườn mà mồ hôi nhễ nhại","đang làm vườn mà mồ hôi nhễ nhại"
"ms sáng sớm mà đã nghe tiếng chim hót","mới sáng sớm mà đã nghe tiếng chim hót"
"cx muốn đi chơi nhưng chân đau quá","cũng muốn đi chơi nhưng chân đau quá"
"cũg tại tôi chủ quan nên mất trộm","cũng tại tôi chủ quan nên mất trộm"
"lói năng phải có đầu có đuôi bác nhé","nói năng phải có đầu có đuôi bác nhé"
"ns thật với bác là tôi hết tiền rồi","nói thật với bác là tôi hết tiền rồi"
"said lời xin lỗi với người già ko khó","nói lời xin lỗi với người già không khó"
"unf những trang tin giả mạo đi anh","hủy kết bạn những trang tin giả mạo đi anh"
"FB của hội mình dạo này trầm quá","Facebook của hội mình dạo này trầm quá"
"ig là cái gì tôi chả biết dùng","Instagram là cái gì tôi chả biết dùng"
"tt dạo này nhiều người livestream bán hàng","Tiktok dạo này nhiều người livestream bán hàng"
"xl là kênh liên lạc chính của tôi","Zalo là kênh liên lạc chính của tôi"
"dép lào tôi dùng để gọi cho con cái","Zalo tôi dùng để gọi cho con cái"
"bthg t hay dậy lúc 7 giờ sáng","bình thường tao hay dậy lúc 7 giờ sáng"
"dth dã man con mèo nhà m ấy","dễ thương dã man con mèo nhà mày ấy"
"cj t mới lấy chồng hwa xong","chị tao mới lấy chồng hôm qua xong"
"rep tn t đi sao cứ im lặng z","trả lời tin nhắn tao đi sao cứ im lặng vậy"
"acc này t dùng để chơi game thôi","tài khoản này tao dùng để chơi game thôi"
"nay có vụ j mà m khok z nói đi","nay có vụ gì mà mày khóc vậy nói đi"
"stt bả đăng nhìn tâm trạng quá m","trạng thái bạn ấy đăng nhìn tâm trạng quá mày"
"sđt quán này là bao nhiêu z ae","số điện thoại quán này là bao nhiêu vậy anh em"
"mxh bây giờ toàn tin giả thôi m ạ","mạng xã hội bây giờ toàn tin giả thôi mày ạ"
"e vừa mới về tới nhà xong cj","em vừa mới về tới nhà xong chị"
"ae mình ra sân đá bóng đi muộn r","anh em mình ra sân đá bóng đi muộn rồi"
"zui lên đi buồn lmj cho mệt người","vui lên đi buồn làm gì cho mệt người"
"kb zalo vs t để t gửi vị trí nha","kết bạn zalo với tao để tao gửi vị trí nha"
"off máy đi ngủ sớm mai còn đi làm","ngoại tuyến máy đi ngủ sớm mai còn đi làm"
"đtrai thế này chắc ny xinh lắm đây","đẹp trai thế này chắc người yêu xinh lắm đây"
"ntn thì mới gọi là đúng ý m","như thế nào thì mới gọi là đúng ý mày"
"tcn của bả nhìn xịn xò thật sự","trang cá nhân của bạn ấy nhìn xịn xò thật sự"
"ig cậu là j để tớ vào thả tim","Instagram cậu là gì để tớ vào thả tim"
"bít ngay là m lại đi chơi mà","biết ngay là mày lại đi chơi mà"
"qtr là m phải thật sự cố gắng","quan trọng là mày phải thật sự cố gắng"
"cno đang tụ tập ở quán cà phê kìa","chúng nó đang tụ tập ở quán cà phê kìa"
"ksao đâu hỏng thì mình sửa lại thôi","không sao đâu hỏng thì mình sửa lại thôi"
"vdu m có tiền m sẽ làm gì đầu tiên","ví dụ mày có tiền mày sẽ làm gì đầu tiên"
"khok xong rồi thì đi ăn cho zui","khóc xong rồi thì đi ăn cho vui"
"lmj mà vội vàng thế cứ bình tĩnh","làm gì mà vội vàng thế cứ bình tĩnh"
"bb nhà mình hôm nay ăn giỏi lắm","em bé nhà mình hôm nay ăn giỏi lắm"
"bcs mua ở hiệu thuốc nào cũng có","bao cao su mua ở hiệu thuốc nào cũng có"
"SK dạo này hơi kém hay bị hắt hơi","sức khỏe dạo này hơi kém hay bị hắt hơi"
"sk sáng nay diễn ra rất thành công","sự kiện sáng nay diễn ra rất thành công"
"BV này bác sĩ nhiệt tình lắm m","bệnh viện này bác sĩ nhiệt tình lắm mày"
"cmsn e gái nhé chúc e luôn xinh","chúc mừng sinh nhật em gái nhé chúc em luôn xinh"
"cmnm chúc cả lớp mình luôn đoàn kết","chúc mừng năm mới chúc cả lớp mình luôn đoàn kết"
"klq nhưng đôi giày m mua ở đâu z","không liên quan nhưng đôi giày mày mua ở đâu vậy"
"qtqd luôn m ăn khỏe thật đấy m","quá trời quá đất luôn mày ăn khỏe thật đấy mày"
"thks b đã chỉ đường cho mình nha","cảm ơn bạn đã chỉ đường cho mình nha"
"sry mình bận quá giờ mới thấy tn","xin lỗi mình bận quá giờ mới thấy tin nhắn"
"ce mình hnay lên đồ slay quá nhỉ","chị em mình hôm nay lên đồ xuất sắc quá nhỉ"
"ace trong team nay đi liên hoan nhé","anh chị em trong team nay đi liên hoan nhé"
"onl thì nhắn cho t cái tin nha","trực tuyến thì nhắn cho tao cái tin nha"
"ms sáng ra đã có tin vui rồi","mới sáng ra đã có tin vui rồi"
"lói khẽ thôi ko mẹ t bít bây giờ","nói khẽ thôi không mẹ tao biết bây giờ"
"unf mấy đứa hay sân si cho khỏe","hủy kết bạn mấy đứa hay sân si cho khỏe"
"FB tớ nay ko đăng được bài mới","Facebook tớ nay không đăng được bài mới"
"tt dạo này nhiều clip nhảy đẹp ghê","Tiktok dạo này nhiều clip nhảy đẹp ghê"
"nhắn qua xl cho t nhé t đg hết tiền","nhắn qua Zalo cho tao nhé tao đang hết tiền"
"mess gọi video bị lag quá t tắt nha","Messenger gọi video bị lag quá tao tắt nha"
"fl kênh này để học tiếng anh nha","theo dõi kênh này để học tiếng anh nha"
"yt dạo này quảng cáo nhiều bực thật","YouTube dạo này quảng cáo nhiều bực thật"
"cmt khen bả một câu cho bả zui","bình luận khen bạn ấy một câu cho bạn ấy vui"
"b rảnh ko qua đèo t đi mua đồ","bạn rảnh không qua đèo tao đi mua đồ"
"thik ăn j t bảo mẹ t nấu cho","thích ăn gì tao bảo mẹ tao nấu cho"
"đc nghỉ hè m tính đi đâu chơi ko","được nghỉ hè mày tính đi đâu chơi không"
"vs t thì m luôn là nhất rồi","với tao thì mày luôn là nhất rồi"
"uk t đồng ý với kế hoạch của m","ừ tao đồng ý với kế hoạch của mày"
"j mà m hốt hoảng thế có chuyện j à","gì mà mày hốt hoảng thế có chuyện gì à"
"trl t nhanh lên mng đang đợi nè","trả lời tao nhanh lên mọi người đang đợi này"
"avt mới nhìn m đtrai hẳn ra đấy","ảnh đại diện mới nhìn mày đẹp trai hẳn ra đấy"
"nnao m mới chịu làm bài tập hả m","như nào mày mới chịu làm bài tập hả mày"
"nnay thì t bít trả lời sao bây giờ","như này thì tao biết trả lời sao bây giờ"
"đz thế này chắc nhiều người yêu lắm","đẹp trai thế này chắc nhiều người yêu lắm"
"iu đời lên m ơi buồn lmj cho mệt","yêu đời lên mày ơi buồn làm gì cho mệt"
"cr m vừa đi ngang qua lớp kìa","người mình thích mày vừa đi ngang qua lớp kìa"
"z chiều nay ae mình ra quán cũ nha","vậy chiều nay anh em mình ra quán cũ nha"
"đth t hết pin rồi xíu t nt lại","điện thoại tao hết pin rồi xíu tao nhắn tin lại"
"típ tục cố gắng rồi thành công sẽ đến","tiếp tục cố gắng rồi thành công sẽ đến"
"nx đi t đang hóng chuyện của bả nè","nữa đi tao đang hóng chuyện của bạn ấy này"
"thui bỏ qua đi chấp nhặt lmj m","thôi bỏ qua đi chấp nhặt làm gì mày"
"đg nấu cơm đợi xíu t gọi lại nha","đang nấu cơm đợi xíu tao gọi lại nha"
"cx tại m đi muộn nên bị mắng đó","cũng tại mày đi muộn nên bị mắng đó"
"said lời xin lỗi có khó gì đâu m","nói lời xin lỗi có khó gì đâu mày"
"dép lào nt mà ko thấy bả seen","Zalo nhắn tin mà không thấy bạn ấy seen"
"bl văn minh lên ae đừng toxic quá","bình luận văn minh lên anh em đừng tiêu cực quá"
"wa nhà t chơi game mới mua ko m","qua nhà tao chơi game mới mua không mày"
"khok một trận cho nhẹ lòng rồi thôi nha","khóc một trận cho nhẹ lòng rồi thôi nha"
"đrui cách này là nhanh nhất rồi đó m","đúng rồi cách này là nhanh nhất rồi đó mày"
"vdu bài này khó quá thầy giảng lại đi","ví dụ bài này khó quá thầy giảng lại đi"
"ei tối nay đi đá bóng ko m","ê tối nay đi đá bóng không mày"
"hi mng mìn là thành viên mới nhé","xin chào mọi người mình là thành viên mới nhé"
"pp nhé mai gặp lại ở quán cũ nha","tạm biệt nhé mai gặp lại ở quán cũ nha"
"nngon nhé cả nhà mơ đẹp nha","ngủ ngon nhé cả nhà mơ đẹp nha"
"ah trai t mới đi làm về có mua quà","anh trai tao mới đi làm về có mua quà"
"ck t nay tâm lý quá mua hoa tặng vk","chồng tao nay tâm lý quá mua hoa tặng vợ"
"cre nhạc xịn quá xin link b ơi","nguồn nhạc xịn quá xin link bạn ơi"
"ctay r buồn quá nhưng t phải cố thôi","chia tay rồi buồn quá nhưng tao phải cố thôi"
"đk xe này mượt thật t cũng mún mua","đúng không xe này mượt thật tao cũng muốn mua"
"e đag đứng chờ cj ở cổng trường nè","em đang đứng chờ chị ở cổng trường này"
"tks b nhìu nha nhờ m mà t qua môn","cảm ơn bạn nhiều nha nhờ mày mà tao qua môn"
"mxh nay toàn tin vịt ae đừng tin nhé","mạng xã hội nay toàn tin vịt anh em đừng tin nhé"
"cđm đg hóng vụ bả ct ổng kìa m","cộng đồng mạng đang hóng vụ bạn ấy chia tay ông ấy kìa mày"
"gđ tớ dự định hè này đi Đà Lạt","gia đình tớ dự định hè này đi Đà Lạt"
"klq nma nay m mặc váy slay wa","không liên quan nhưng mà nay mày mặc váy xuất sắc quá"
"nym của ổng nhìn cũng đzai phết nhỉ","người yêu mới của ông ấy nhìn cũng đẹp trai phết nhỉ"
"nyc t vừa mới kb lại vs t m ạ","người yêu cũ tao vừa mới kết bạn lại với tao mày ạ"
"đr t cũng thấy ý tưởng này ổn đó","đúng rồi tao cũng thấy ý tưởng này ổn đó"
"cv dạo này bù đầu ko có tg nghỉ","công việc dạo này bù đầu không có thời gian nghỉ"
"mìn vừa mua đth mới chụp nét căng","mình vừa mua điện thoại mới chụp nét căng"
"bthg t hay đi bộ công viên buổi sáng","bình thường tao hay đi bộ công viên buổi sáng"
"dth dã man bé bi nhà m mấy tháng r","dễ thương dã man em bé nhà mày mấy tháng rồi"
"sr m nhé nãy t đg họp ko rep đc","xin lỗi mày nhé nãy tao đang họp không trả lời được"
"bít r m ko cần nhắc lại nx đâu","biết rồi mày không cần nhắc lại nữa đâu"
"qtr là m thấy zui là đc r m ạ","quan trọng là mày thấy vui là được rồi mày ạ"
"cno rủ đi ăn ốc mà t đg kẹt tiền","chúng nó rủ đi ăn ốc mà tao đang kẹt tiền"
"ksao hỏng cái này ta mua cái khác","không sao hỏng cái này ta mua cái khác"
"vdu m trúng số thì m lmj đầu tiên","ví dụ mày trúng số thì mày làm gì đầu tiên"
"khok xong r thì rửa mặt đi ăn thôi","khóc xong rồi thì rửa mặt đi ăn thôi"
"lmj mà nhìn t dữ z m sợ wa","làm gì mà nhìn tao dữ vậy mày sợ quá"
"bb nay biết gọi ba rồi dth lắm cj","em bé nay biết gọi ba rồi dễ thương lắm chị"
"bcs mua ở mấy tiệm thuốc đều có mà","bao cao su mua ở mấy tiệm thuốc đều có mà"
