Câu gốc,Câu chuẩn hóa
"bcs hnay m mua chưa","bao cao su hôm nay mày mua chưa"
"ksao m bùn t đi cf vs m","không sao mày buồn tao đi cf với mày"
"tgian bên bả t zui lém","thời gian bên bạn ấy tao vui lắm"
"hqua t khok bùn zui lẫn lộn","hôm qua tao khóc buồn vui lẫn lộn"
"đrui đroi t ms bít tin","đúng rồi đúng rồi tao mới biết tin"
"vdu ntn ei m ns rõ đi","ví dụ như thế nào ê mày nói rõ đi"
"alo pp m t off xíu","xin chào tạm biệt mày tao ngoại tuyến xíu"
"bye nngon nha a iu","tạm biệt ngủ ngon nha anh yêu"
"cre ctay này ở đâu z","nguồn chia tay này ở đâu vậy"
"fact fake r flop dập mặt","sự thật giả mạo rồi mất tương tác dập mặt"
"kkk ib m ko rep t nha","cười nhắn tin mày không trả lời tao nha"
"khum no kr t là k đi","không không ý kiến riêng tao là không đi"
"cno đg lmj z m bít ko","chúng nó đang làm gì vậy mày biết không"
"mtr fl bả đi ngta đzai lắm","mong trả theo dõi bạn ấy đi người ta đẹp trai lắm"
"ổng otp vs bả real wa","ông ấy ghép cặp với bạn ấy thật quá"
"scam cno up stt bóc phốt r","lừa gạt chúng nó lên trạng thái bóc phốt rồi"
"toxic wa tag bả vô cmt","tiêu cực quá gắn thẻ bạn ấy vô bình luận"
"tcn tk này trốg trơn v","trang cá nhân thằng này trống trơn vậy"
"up tus thả thính xh lun","lên bài viết thả thính xu hướng luôn"
"bn mìn bh chx có ny","bạn mình bây giờ chưa có người yêu"
"mik bây h ch ms đi lmj","mình bây giờ chưa mới đi làm gì"
"h mh bít kq r m","giờ mấy giờ biết kết quả rồi mày"
"bít thik bthg bth","biết thích bình thường bình thường"
"bình thg đc vs m th","bình thường được với mày thôi"
"ừm uk m acp bả đi","ừ ừ mày đồng ý bạn ấy đi"
"r j giề m ns t nghe","rồi gì gì mày nói tao nghe"
"trl rep off avt lmj v","trả lời trả lời ngoại tuyến ảnh đại diện làm gì vậy"
"lm lms ntn nnao","làm làm sao như thế nào như nào"
"nnay đtr đtrai dz wa","như này đẹp trai đẹp trai đẹp trai quá"
"đzai đz depzai iu m","đẹp trai đẹp trai đẹp trai yêu mày"
"eo cr z zạy v dậy","yêu người mình thích vậy vậy vậy vậy"
"dth dthuongg đth cj ns nha","dễ thương dễ thương điện thoại chị nói nha"
"ae típ nx th m","anh em tiếp nữa thôi mày"
"thui thoi thoai ce đg bận","thôi thôi thôi chị em đang bận"
"e ace onl ms bít","em anh chị em trực tuyến mới biết"
"đg dg ms cx lói ns","đang đang mới cũng nói nói"
"said unf FB ig bả lun","nói hủy kết bạn Facebook Instagram bạn ấy luôn"
"tt xl dép lào mess fl t","Tiktok Zalo Zalo Messenger theo dõi tao"
"sđt yt ytb cmt bl acc","số điện thoại YouTube YouTube bình luận bình luận tài khoản"
"bb cmsn cmnm SK sk BV","em bé chúc mừng sinh nhật chúc mừng năm mới sức khỏe sự kiện bệnh viện"
"bcs hnay hn ksao ks","bao cao su hôm nay hôm nay không sao không sao"
"qtrong qtr tgian tg wa","quan trọng quan trọng thời gian thời gian quá"
"qus wa bùn khok zui hqua","quá quá buồn khóc vui hôm qua"
"dr đr đroi đrui drui r","đúng rồi đúng rồi đúng rồi đúng rồi đúng rồi rồi"
"droi VD vdu ei ay đi","đúng rồi ví dụ ví dụ ê ê đi"
"hi lô alo pp m nngon","xin chào xin chào xin chào tạm biệt mày ngủ ngon"
"bai bye nn a ah ck","tạm biệt tạm biệt ngủ ngon anh anh chồng"
"vk cre ct ctay đk e","vợ nguồn chia tay chia tay đúng không em"
"fact fake flop hh kkk kk","sự thật giả mạo mất tương tác haha cười haha"
"ib in4 k ko kh khum","nhắn tin thông tin không không không không"
"no đéo kr m t cno","không không ý kiến riêng mày tao chúng nó"
"mem mtr mxh ngta bả ổng","thành viên mong trả mạng xã hội người ta bạn ấy ông ấy"
"ní otp real s same scam","bạn ghép cặp thật sao giống lừa gạt"
"slay stt tag tcn tk thg","xuất sắc trạng thái gắn thẻ trang cá nhân thằng thằng"
"toxic tus up vv xh bn","tiêu cực bài viết lên vui vẻ xu hướng bạn"
"alo ae cbi đi chs chx","xin chào anh em chuẩn bị đi chơi chưa"
"mìn ms mua đth xog","mình mới mua điện thoại xong"
"hqua t vs bả đi cf","hôm qua tao với bạn ấy đi cf"
"tk kia ns j m z","thằng kia nói gì mày vậy"
"dr hnay t bận vc r","đúng rồi hôm nay tao bận việc rồi"
"stt bùn wa m đg khok à","trạng thái buồn quá mày đang khóc à"
"ổng depzai mxh ai cx thik","ông ấy đẹp trai mạng xã hội ai cũng thích"
"rep tn mún gãy tay lun","trả lời tin nhắn muốn gãy tay luôn"
"acc bả flop qúa m ơi","tài khoản bạn ấy mất tương tác quá mày ơi"
"m acp t xl nha","mày đồng ý tao Zalo nha"
"e vs a ctay r ae ơi","em với anh chia tay rồi anh em ơi"
"zui lém hn t đc gặp bả","vui lắm hôm nay tao được gặp bạn ấy"
"sk đag hay m lms z","sự kiện đang hay mày làm sao vậy"
"qtr t thik bả là đc","quan trọng tao thích bạn ấy là được"
"thui nngon pp m nha","thôi ngủ ngon tạm biệt mày nha"
"ce đi lmj z cho t theo vs","chị em đi làm gì vậy cho tao theo với"
"m bít đk t lói r mà","mày biết đúng không tao nói rồi mà"
"kr s m cmt bả toxic z","ý kiến riêng sao mày bình luận bạn ấy tiêu cực vậy"
"unf t đi t chán m r","hủy kết bạn tao đi tao chán mày rồi"
"zạy th ae mik off đi","vậy thôi anh em mình ngoại tuyến đi"
"cr t onl FB r ae","người mình thích trực tuyến Facebook rồi anh em"
"hnay ae mik đi đâu chs","hôm nay anh em mình đi đâu chơi"
"cr t ms up stt bùn","người mình thích tao mới lên trạng thái buồn"
"bả vs tk đó ctay r","bạn ấy với thằng đó chia tay rồi"
"mh m ms đi học z","mấy giờ mày mới đi học vậy"
"bít r ksao đâu ae","biết rồi không sao đâu anh em"
"t thik bả lâu r","tao thích bạn ấy lâu rồi"
"cno đag lmj trong BV v","chúng nó đang làm gì trong bệnh viện vậy"
"zui wa hqua t đc đi chs","vui quá hôm qua tao được đi chơi"
"đr m lói z t ms bít","đúng rồi mày nói vậy tao mới biết"
"đc r mai t vs m đi","được rồi mai tao với mày đi"
"ừm m rep ib lẹ nha","ừm mày trả lời nhắn tin lẹ nha"
"j giề m ns j t chx hỉu","gì gì mày nói gì tao chưa hiểu"
"t ms đổi avt FB nè","tao mới đổi ảnh đại diện Facebook này"
"lmj mà off lâu z m","làm gì mà ngoại tuyến lâu vậy mày"
"cj ms mua đth ms à","chị mới mua điện thoại mới à"
"ntn là s t chx bít","như thế nào là sao tao chưa biết"
"tk kia đzai wa m ơi","thằng kia đẹp trai quá mày ơi"
"iu bả lém mà ko dám ns","yêu bạn ấy lắm mà không dám nói"
"zạy th t tắt đth nha","vậy thôi tao tắt điện thoại nha"
"bả dth s chịu nổi ae","bạn ấy dễ thương sao chịu nổi anh em"
"ce onl hnay đông z","chị em trực tuyến hôm nay đông vậy"
"típ nx ko m t đag rảnh","tiếp nữa không mày tao đang rảnh"
"e ms lướt tt xog","em mới lướt Tiktok xong"
"cũg mún đi mà ko cs tiền","cũng muốn đi mà không có tiền"
"bả said bả bùn khok hqua","bạn ấy nói bạn ấy buồn khóc hôm qua"
"unf t đi t bùn r","hủy kết bạn tao đi tao buồn rồi"
"fl ig t nha ae","theo dõi Instagram tao nha anh em"
"sđt bả m cs ko","số điện thoại bạn ấy mày có không"
"ytb ms ra clip ms kìa","YouTube mới ra clip mới kìa"
"cmt bả toxic wa m ơi","bình luận bạn ấy tiêu cực quá mày ơi"
"acc t bị block chx mở đc","tài khoản tao bị block chưa mở được"
"bb hnay ngoan ko bả","em bé hôm nay ngoan không bạn ấy"
"cmsn m nha sn zui vẻ","chúc mừng sinh nhật mày nha sinh nhật vui vẻ"
"SK qtr lém m nhớ giữ gìn","sức khỏe quan trọng lắm mày nhớ giữ gìn"
"hnay t đg bận vc r","hôm nay tao đang bận việc rồi"
"ksao m bùn t rủ cno đi cf","không sao mày buồn tao rủ chúng nó đi cf"
"tgian trôi wa lẹ vl","thời gian trôi quá lẹ vãi luyện"
"qus đzai t xỉu đây","quá đẹp trai tao xỉu đây"
"vdu m mún s lói đi","ví dụ mày muốn sao nói đi"
"ei m đi mua cf vs t ko","ê mày đi mua cf với tao không"
"alo pp t off đi ngủ đây","xin chào tạm biệt tao ngoại tuyến đi ngủ đây"
"nngon nha ck iu của e","ngủ ngon nha chồng yêu của em"
"cre bài viết trên mxh đk","nguồn bài viết trên mạng xã hội đúng không"
"đk e ns thật mà m ko tin","đúng không em nói thật mà mày không tin"
"fact bả đg thik m đó","sự thật bạn ấy đang thích mày đó"
"fake in4 scam ngta đó","giả mạo thông tin lừa gạt người ta đó"
"stt bả flop dập mặt","trạng thái bạn ấy mất tương tác dập mặt"
"hh tk đó hài wa","haha thằng đó hài quá"
"k thik thì th unf bả lun","không thích thì thôi hủy kết bạn bạn ấy luôn"
"kr của t là bả đg xạo","ý kiến riêng của tao là bạn ấy đang xạo"
"mem ms zô group ae ơii","thành viên mới vô group anh em ơii"
"mtr t nx nha bả rep r","mong trả tao nữa nha bạn ấy trả lời rồi"
"ní ơi bh rảnh rep ib t","bạn ơi bây giờ rảnh trả lời nhắn tin tao"
"otp m vs bả real wa","ghép cặp mày với bạn ấy thật quá"
"same t cx nghĩ z á","giống tao cũng nghĩ vậy á"
"slay wa cj đzai kìa","xuất sắc quá chị đẹp trai kìa"
"tag bả zô stt này ae","gắn thẻ bạn ấy vô trạng thái này anh em"
"tcn trống trơn ko cs j","trang cá nhân trống trơn không có gì"
"tus ms bả bthg mà s toxic z","bài viết mới bạn ấy bình thường mà sao tiêu cực vậy"
"up ảnh vs ny lên mxh đi","lên ảnh với người yêu lên mạng xã hội đi"
"bn iu t thik bn lém","bạn yêu tao thích bạn lắm"
"mik ms đi làm zề mệt wa","mình mới đi làm về mệt quá"
"bây h đi cf vs ae ko","bây giờ đi cf với anh em không"
"chx m ơi t đg bận vc","chưa mày ơi tao đang bận việc"
"mh m ms đc nghỉ v","mấy giờ mày mới được nghỉ vậy"
"bít r m lói nhìu wa","biết rồi mày nói nhiều quá"
"bth t vs bả z mà","bình thường tao với bạn ấy vậy mà"
"đc ròi hnay t đãi ae","được rồi hôm nay tao đãi anh em"
"ừm m đi trc đi t zô sau","ừm mày đi trước đi tao vô sau"
"r bả ns s vs m r","rồi bạn ấy nói sao với mày rồi"
"j cơ tk đó cắm sừng cj à","gì cơ thằng đó cắm sừng chị à"
"rep t xog r m hẵng off","trả lời tao xong rồi mày hẵng ngoại tuyến"
"lmj mà off FB lẹ z","làm gì mà ngoại tuyến Facebook lẹ vậy"
"lms bít đc ổng đg lmj","làm sao biết được ông ấy đang làm gì"
"ntn ms gọi là depzai hở m","như thế nào mới gọi là đẹp trai hở mày"
"nnao t cx đi vs ae đc","như nào tao cũng đi với anh em được"
"nnay ròi m chx chịu đi à","như này rồi mày chưa chịu đi à"
"đtr bthg ko cs j slay","đẹp trai bình thường không có gì xuất sắc"
"iu ck nhìu nhìu lém nha","yêu chồng nhiều nhiều lắm nha"
"eo ôi bả dth wa đi","yêu ôi bạn ấy dễ thương quá đi"
"cr rep stt t m ơi","người mình thích trả lời trạng thái tao mày ơi"
"z thui t ko ép m nx","vậy thôi tao không ép mày nữa"
"zạy t vs m dạo phố ko","vậy tao với mày dạo phố không"
"v t chx bít lmj bh","vậy tao chưa biết làm gì bây giờ"
"dậy ms zui ae nhỉ","vậy mới vui anh em nhỉ"
"dth dã man t thik bả r","dễ thương dã man tao thích bạn ấy rồi"
"đth bả ms mua dthuongg z","điện thoại bạn ấy mới mua dễ thương vậy"
"cj t ms cho đth ms nè","chị tao mới cho điện thoại mới này"
"ae mik đi nhậu hnay ko","anh em mình đi nhậu hôm nay không"
"típ theo lms đây ae","tiếp theo làm sao đây anh em"
"nx đi t đg nghe bả lói","nữa đi tao đang nghe bạn ấy nói"
"th m lms z bùn à","thôi mày làm sao vậy buồn à"
"thui t khum thik tk đó","thôi tao không thích thằng đó"
"thoi pp ae t off đi ngủ","thôi tạm biệt anh em tao ngoại tuyến đi ngủ"
"ce hnay lên đồ slay z","chị em hôm nay lên đồ xuất sắc vậy"
"e mún đi cf vs m đc ko","em muốn đi cf với mày được không"
"ace rep ib t nha đag gấp","anh chị em trả lời nhắn tin tao nha đang gấp"
"onl rùi th rep t đi tk kia","trực tuyến rồi thì trả lời tao đi thằng kia"
"đag bận lmj mà ko rep mxh","đang bận làm gì mà không trả lời mạng xã hội"
"đg lướt ig thì t bít tin","đang lướt Instagram thì tao biết tin"
"dg tính đi mxh mà th","đang tính đi mạng xã hội mà thôi"
"ms đag lướt tt thì bít tin","mới đang lướt Tiktok thì biết tin"
"cx mún ns mà thui ngại","cũng muốn nói mà thôi ngại"
"bả lói xog unf FB t lun","bạn ấy nói xong hủy kết bạn Facebook tao luôn"
"tk đó said ko thik m đâu","thằng đó nói không thích mày đâu"
"ig bả dạo này flop dập mặt","Instagram bạn ấy dạo này mất tương tác dập mặt"
"ib dép lào gửi sđt qua nha","nhắn tin Zalo gửi số điện thoại qua nha"
"check mess chx sao off r","check Messenger chưa sao ngoại tuyến rồi"
"t ms fl bả trên tt á","tao mới theo dõi bạn ấy trên Tiktok á"
"ytb dạo này ít vid slay wa","YouTube dạo này ít video xuất sắc quá"
"cmt zô tus t lẹ đi ae","bình luận vô bài viết tao lẹ đi anh em"
"bl ntn cho ngầu h m","bình luận như thế nào cho ngầu giờ mày"
"acc bả s bị khoá z","tài khoản bạn ấy sao bị khoá vậy"
"bb hnay ngủ ngoan ko cj","em bé hôm nay ngủ ngoan không chị"
"cmsn nha zui vẻ bthg thoi","chúc mừng sinh nhật nha vui vẻ bình thường thôi"
"cmnm mn nhìu SK nha","chúc mừng năm mới mọi người nhiều sức khỏe nha"
"sk này qtrong lém nha m","sự kiện này quan trọng lắm nha mày"
"hqua ms zô BV thăm bả","hôm qua mới vô bệnh viện thăm bạn ấy"
"hnay đg bùn ko mún lmj","hôm nay đang buồn không muốn làm gì"
"hn ksao t tự lo đc","hôm nay không sao tao tự lo được"
"qtr bả cs iu m ko","quan trọng bạn ấy có yêu mày không"
"tgian nhanh wa ae chx lmj","thời gian nhanh quá anh em chưa làm gì"
"tg trôi lẹ khok lun á","thời gian trôi lẹ khóc luôn á"
"qus đzai t xỉu ngang","quá đẹp trai tao xỉu ngang"
"bùn wa chx cs ai đi chs cug","buồn quá chưa có ai đi chơi cùng"
"zui lém hnay đc ny dắt đi ăn","vui lắm hôm nay được người yêu dắt đi ăn"
"dr bả ms lói vs t xog","đúng rồi bạn ấy mới nói với tao xong"
"đr m cx ngta bthg mà","đúng rồi mày cũng người ta bình thường mà"
"đroi đg bận vc lém nha","đúng rồi đang bận việc lắm nha"
"VD z đi m hỉu chx","ví dụ vậy đi mày hiểu chưa"
"vdu ntn ms đr hở ae","ví dụ như thế nào mới đúng rồi hở anh em"
"ei m onl chx zô lẹ","ê mày trực tuyến chưa vô lẹ"
"ay hnay đi xem phim ko","ê hôm nay đi xem phim không"
"hi mn e ms zô group","xin chào mọi người em mới vô group"
"lô ae hnay cs kèo j ko","xin chào anh em hôm nay có kèo gì không"
"alo m rảnh ko call xíu","xin chào mày rảnh không call xíu"
"pp ae t off r nha","tạm biệt anh em tao ngoại tuyến rồi nha"
"bai m nngon nha","tạm biệt mày ngủ ngon nha"
"bye a iu nn nha","tạm biệt anh yêu ngủ ngon nha"
"a ah ck m đg lmj z","anh anh chồng mày đang làm gì vậy"
"vk hnay cs mún đi mua sắm ko","vợ hôm nay có muốn đi mua sắm không"
"cre ảnh này m lấy ở đâu","nguồn ảnh này mày lấy ở đâu"
"ổng bả ctay r ae ơi","ông ấy bạn ấy chia tay rồi anh em ơi"
"ct đk t bít ngay mà","chia tay đúng không tao biết ngay mà"
"e chx bít lmj típ bh","em chưa biết làm gì tiếp bây giờ"
"fact là ổng scam cno","sự thật là ông ấy lừa gạt chúng nó"
"fake ảnh ms lừa đc ngta","giả mạo ảnh mới lừa được người ta"
"hh hài wa t khok lun","haha hài quá tao khóc luôn"
"kkk bả ns đr á m","cười bạn ấy nói đúng rồi á mày"
"in4 tk này t chx bít","thông tin thằng này tao chưa biết"
"k ko m đg xạo đk","không không mày đang xạo đúng không"
"khum no t đéo thik bả","không không tao không thích bạn ấy"
"kr của t là thg này toxic","ý kiến riêng của tao là thằng này tiêu cực"
"cno đg lmj ngoài kia z","chúng nó đang làm gì ngoài kia vậy"
"mem ms zô nhớ fl fb t","thành viên mới vô nhớ theo dõi facebook tao"
"mtr tus bả thả tim đi","mong trả bài viết bạn ấy thả tim đi"
"mxh zui lém m đag onl ko","mạng xã hội vui lắm mày đang trực tuyến không"
"ngta bả đg bùn đó m","người ta bạn ấy đang buồn đó mày"
"ổng ns j z t ko bít","ông ấy nói gì vậy tao không biết"
"ní ơi ib t gửi ảnh ch","bạn ơi nhắn tin tao gửi ảnh chưa"
"otp này đzai dth s chịu nổi","ghép cặp này đẹp trai dễ thương sao chịu nổi"
"real 100% bả ns vs t","thật 100% bạn ấy nói với tao"
"s m lại unf tk đó r","sao mày lại hủy kết bạn thằng đó rồi"
"same t cx thấy ntn ko ổn","giống tao cũng thấy như thế nào không ổn"
"slay wa cj ơii đtr wa","xuất sắc quá chị ơii đẹp trai quá"
"stt bả tag tk nào z","trạng thái bạn ấy gắn thẻ thằng nào vậy"
"tcn t ms đổi avt nha","trang cá nhân tao mới đổi ảnh đại diện nha"
"thg tk kia ms ctay vk","thằng thằng kia mới chia tay vợ"
"toxic lém m unf bả đi","tiêu cực lắm mày hủy kết bạn bạn ấy đi"
"up tus mún xh thì lms","lên bài viết muốn xu hướng thì làm sao"
"bn iu bh rảnh cf vs t","bạn yêu bây giờ rảnh cf với tao"
"mik đag bận vc xíu rep sau","mình đang bận việc xíu trả lời sau"
"h ms bít bả cs ny r","giờ mới biết bạn ấy có người yêu rồi"
"mh m ms đc off v","mấy giờ mày mới được ngoại tuyến vậy"
"bt r m lói nx t block","biết rồi mày nói nữa tao block"
"thik thì đk vs ae nha","thích thì đúng không với anh em nha"
"bthg th m ơi đg bận","bình thường thôi mày ơi đang bận"
"đc z thì còn j bằg","được vậy thì còn gì bằng"
"ừm m đi mua cf vs t","ừm mày đi mua cf với tao"
"uk t onl r nnao ae","ừ tao trực tuyến rồi như nào anh em"
"um m acp fb t đi","ừm mày đồng ý facebook tao đi"
"r j trl m mệt wa","rồi gì trả lời mày mệt quá"
"giề m lms thế rep ib t","gì mày làm sao thế trả lời nhắn tin tao"
"lmj thì lmj cẩn thận zô","làm gì thì làm gì cẩn thận vô"
"ntn là s ae chx hỉu","như thế nào là sao anh em chưa hiểu"
"nnay t khok r m nha","như này tao khóc rồi mày nha"
"đtr dz wa ngta iu","đẹp trai đẹp trai quá người ta yêu"
"đzai bthg m lmj khen dth","đẹp trai bình thường mày làm gì khen dễ thương"
"depzai iu bả mất ròi","đẹp trai yêu bạn ấy mất rồi"
"eo cr r ko dám ib","yêu người mình thích rồi không dám nhắn tin"
"z zạy thui m đi đi","vậy vậy thôi mày đi đi"
"v dậy t zề trc m nha","vậy vậy tao về trước mày nha"
"dthuongg đth ms mua z","dễ thương điện thoại mới mua vậy"
"cj ae m đg lmj z","chị anh em mày đang làm gì vậy"
"típ nx ko m đg bùn ngủ","tiếp nữa không mày đang buồn ngủ"
"th thui nngon m nha ae","thôi thôi ngủ ngon mày nha anh em"
"thoai ce e ms zề","thôi chị em em mới về"
"ace onl ko cf chém gió","anh chị em trực tuyến không cf chém gió"
"đg dg đag lmj đó bro","đang đang đang làm gì đó bạn"
"ms cx lói ns zậy hả","mới cũng nói nói vậy hả"
"said unf tk đó lẹ nha","nói hủy kết bạn thằng đó lẹ nha"
"FB ig tt dạo này flop","Facebook Instagram Tiktok dạo này mất tương tác"
"xl dép lào ms sđt nha","Zalo Zalo mới số điện thoại nha"
"fl yt ytb ms up tus","theo dõi YouTube YouTube mới lên bài viết"
"alo m đag lmj đó","xin chào mày đang làm gì đó"
"hi ae hnay khỏe ko","xin chào anh em hôm nay khỏe không"
"lô ce bh đi ăn chx","xin chào chị em bây giờ đi ăn chưa"
"pp t off trc nha","tạm biệt tao ngoại tuyến trước nha"
"bai a e đi ngủ nngon","tạm biệt anh em đi ngủ ngủ ngon"
"bye ní nha mai ns típ","tạm biệt bạn nha mai nói tiếp"
"nn ck iu của e","ngủ ngon chồng yêu của em"
"bh m ms zề nhà z","bây giờ mày mới về nhà vậy"
"mh m ms đc nghỉ v","mấy giờ mày mới được nghỉ vậy"
"h t đg bận xíu rep nha","giờ tao đang bận xíu trả lời nha"
"chx t đag ăn cơm vs bả","chưa tao đang ăn cơm với bạn ấy"
"bít r m lói hoài mệt wa","biết rồi mày nói hoài mệt quá"
"bthg thoi ksao đâu ae","bình thường thôi không sao đâu anh em"
"đc r m qa t đi chs","được rồi mày qua tao đi chơi"
"ừm m cbi chx z","ừm mày chuẩn bị chưa vậy"
