,text,target,loss_by_words,loss_by_sentences,max_word_loss
2676,Cho mik xin jd Diễn Hoạt nka,Cho mình xin Job Description Diễn Hoạt nha,"<s>: 0.0157, ▁Cho: 0.0325, ▁mình: 0.0214, ▁xin: 0.0195, ▁Job: 9.8061, ▁Description: 14.4483, ▁Diễn: 15.452, ▁Hoạt: 0.0408, ▁nha: 0.0181, </s>: 0.068",3.9922,15.452
2848,"Nghĩ kiểu j z?""","""Nghĩ kiểu gì thế?""""""","<s>: 0.0152, ▁"": 10.6999, N: 8.0662, gh: 1.5613, ĩ: 1.6525, ▁kiểu: 0.0088, ▁gì: 0.0591, ▁thế: 2.0513, ?"": 0.0263, "": 12.4011, "": 10.8965, </s>: 0.1787",3.9681,12.4011
883,ATSH mãi đỉnk mãi đỉnk,Anh Trai Say Hi mãi đỉnh mãi đỉnh,"<s>: 0.0162, ▁Anh: 3.2232, ▁Tra: 6.7135, i: 0.2338, ▁Say: 13.5188, ▁Hi: 3.745, ▁mãi: 14.973, ▁đỉnh: 0.4913, ▁mãi: 0.0877, ▁đỉnh: 0.3328, </s>: 0.0551",3.9446,14.973
8666,"Sech online y ib tui roi tui ke nhiêu cai thu vi lam, yêu xa van tin tưởng dc nhau","Sex online đi inbox tôi rồi tôi kể nhiều cái thú vị lắm, yêu xa vẫn tin tưởng được nhau","<s>: 0.0147, ▁Sex: 12.0229, ▁online: 0.0024, ▁đi: 8.4558, ▁in: 0.231, box: 0.0379, ▁tôi: 2.9857, ▁rồi: 6.4038, ▁tôi: 1.7242, ▁kể: 12.6928, ▁nhiều: 6.0335, ▁cái: 12.0167, ▁thú: 8.6521, ▁vị: 1.4064, ▁lắm: 6.3181, ,: 2.7766, ▁yêu: 0.0309, ▁xa: 0.008, ▁vẫn: 12.4676, ▁tin: 0.0379, ▁tưởng: 0.0093, ▁được: 0.0743, ▁nhau: 0.0265, </s>: 0.0927",3.9384,12.6928
4288,"Mk thik csgo, pubg, cf hơn 😌","Mình thích CS:GO, PUBG, Đột Kích hơn 😌","<s>: 0.0145, ▁Mình: 0.0853, ▁thích: 0.0335, ▁CS: 9.344, :: 9.4362, GO: 8.0618, ,: 0.075, ▁PUBG: 16.0955, ,: 0.1541, ▁Độ: 13.9354, t: 2.828, ▁K: 2.1327, ích: 2.1644, ▁hơn: 1.8746, ▁: 0.0773, <unk>: 0.0432, </s>: 0.0633",3.907,16.0955
4544,Lm phờ ruy,Làm free,"<s>: 0.0166, ▁Làm: 0.0352, ▁free: 11.0991, </s>: 4.4512",3.9005,11.0991
4845,Toàn đào lửa thui.,Toàn lừa đảo thôi.,"<s>: 0.0147, ▁Toàn: 0.0114, ▁lừa: 12.762, ▁đảo: 14.2636, ▁thôi: 0.0601, .: 0.1029, </s>: 0.0718",3.8981,14.2636
2917,Bên tre chung,Bến Tre chung,"<s>: 0.0147, ▁B: 12.3908, ến: 7.4209, ▁Tre: 3.3079, ▁chung: 0.0201, </s>: 0.0695",3.8706,12.3908
8273,Kh ns tv v ns tiếng nhật ik b👽 Sì ki đa dó,Không nói tiếng Việt vậy nói tiếng Nhật đi bạn 👽 Suki da yo,"<s>: 0.0156, ▁Không: 0.1079, ▁nói: 0.0455, ▁tiếng: 6.2665, ▁Việt: 5.2033, ▁vậy: 0.4954, ▁nói: 0.0209, ▁tiếng: 0.0131, ▁Nhật: 4.9447, ▁đi: 0.0519, ▁bạn: 0.0306, ▁: 7.5819, <unk>: 1.889, ▁Su: 9.4425, ki: 11.0041, ▁da: 10.9795, ▁yo: 11.3432, </s>: 0.1245",3.8644,11.3432
6538,File của btddl àh :))),File của Biệt đội đa lộn à :))),"<s>: 0.0148, ▁File: 0.0039, ▁của: 0.0869, ▁Bi: 6.306, ệt: 7.4867, ▁đội: 5.5305, ▁đa: 10.0078, ▁lộ: 10.8336, n: 4.0515, ▁à: 0.0549, <unk>: 0.0752, </s>: 0.0799",3.711,10.8336
8376,htram cx chệu em lun,huyền trâm cũng chịu em luôn,"<s>: 0.0169, ▁huyền: 11.8285, ▁tr: 7.0864, âm: 3.8525, ▁cũng: 0.1139, ▁chịu: 10.2269, ▁em: 0.0838, ▁luôn: 0.0488, </s>: 0.0918",3.7055,11.8285
8461,tưởng đg ns niu chiên,tưởng đang nói NewJeans,"<s>: 0.0146, ▁tưởng: 0.004, ▁đang: 0.2088, ▁nói: 0.0319, ▁New: 11.2029, Je: 10.2195, ans: 7.5381, </s>: 0.3288",3.6936,11.2029
7827,nyc bn cs 3 bằng ielts ah,người yêu cũ bạn có 3 bằng IELTS àhọp gia đình chc luôn,"<s>: 0.0168, ▁người: 0.0082, ▁yêu: 0.0547, ▁cũ: 0.0317, ▁bạn: 0.0343, ▁có: 0.0525, ▁3: 0.0231, ▁bằng: 0.0154, ▁IELTS: 4.5338, ▁à: 0.8888, h: 11.574, ọ: 7.6465, p: 3.0073, ▁gia: 7.8975, ▁đình: 0.2806, ▁ch: 12.3695, c: 12.2359, ▁luôn: 9.0246, </s>: 0.449",3.6918,12.3695
1082,M ơi can xồ can xồ!!!!!,Mày ơi cancel cancel!!!!!,"<s>: 0.0161, ▁Mà: 0.227, y: 0.0128, ▁ơi: 0.0246, ▁cancel: 16.6357, ▁cancel: 11.7863, <unk>: 0.2073, </s>: 0.0797",3.6237,16.6357
5309,mk cs gim l inh va ay r đók b ơi,mình có ghim link vay rồi đó bạn ơi,"<s>: 0.0149, ▁mình: 0.1019, ▁có: 0.0757, ▁ghi: 9.7567, m: 7.9538, ▁link: 7.9044, ▁vay: 10.1909, ▁rồi: 5.9447, ▁đó: 0.082, ▁bạn: 0.0292, ▁ơi: 0.0211, </s>: 0.082",3.5131,10.1909
8622,Thuật toán thờ rét,Thuật toán Threads,"<s>: 0.0128, ▁Thuật: 0.0011, ▁toán: 0.0075, ▁Thread: 15.8208, s: 4.6975, </s>: 0.0925",3.4387,15.8208
8216,Zạ hnay 1.250-1.350k/10 cành cưng ơi.,Dạ hôm nay 1.250.000-1.350.000/10 cành cưng ơi.,"<s>: 0.0153, ▁Dạ: 0.0156, ▁hôm: 0.2605, ▁nay: 0.036, ▁1.2: 9.0874, 50.000: 12.6272, -: 8.0377, 1.3: 14.9433, 50.000: 11.9698, /10: 0.9961, ▁c: 0.1969, ành: 0.0002, ▁cư: 0.001, ng: 0.0311, ▁ơi: 0.0666, .: 0.0758, </s>: 0.0659",3.4368,14.9433
4212,sì tan kẹo bếu nhưg lowtech 💔,stan kẹo béo nhưng lowtech 💔,"<s>: 0.0151, ▁stan: 10.8763, ▁k: 14.1904, ẹ: 0.0105, o: 0.0743, ▁béo: 15.5886, ▁nhưng: 0.1784, ▁low: 0.0, tech: 0.0071, ▁: 0.0882, <unk>: 0.0618, </s>: 0.0712",3.4302,15.5886
5780,8/3 thik v trờiiii,Mùng 8 tháng 3 thích vậy trời,"<s>: 0.0165, ▁M: 12.0994, ùng: 0.7485, ▁8: 0.0833, ▁tháng: 7.1465, ▁3: 13.5045, ▁thích: 0.005, ▁vậy: 0.1013, ▁trời: 0.0006, </s>: 0.506",3.4212,13.5045
1102,Êi shaooo lắm mbg z chòi🥲🥲,Ê sao lắm máy bay giấy vậy trời🥲🥲,"<s>: 0.0141, ▁Ê: 0.0024, ▁sao: 10.3211, ▁lắm: 0.0208, ▁máy: 7.9003, ▁bay: 0.181, ▁giấy: 12.8475, ▁vậy: 2.5956, ▁trời: 2.5274, <unk>: 0.094, </s>: 0.0729",3.3252,12.8475
2986,Zạ ô keeee,Dạ ok,"<s>: 0.018, ▁Dạ: 0.0413, ▁ok: 9.3478, </s>: 3.8438",3.3127,9.3478
7282,Đưngf xoá bài nka.,Đừng xóa bài nha.,"<s>: 0.0144, ▁Đừng: 8.9532, <unk>: 6.7259, ▁bài: 7.2322, ▁nha: 0.0094, .: 0.0927, </s>: 0.073",3.3001,8.9532
450,Xin slot lm loops,Xin slot làm lốp,"<s>: 0.0141, ▁Xin: 0.0093, ▁slot: 0.0001, ▁làm: 0.0543, ▁l: 14.4942, ố: 7.4731, p: 0.4299, </s>: 3.598",3.2591,14.4942
5311,e tải truec aller về,em tải Truecaller về,"<s>: 0.0157, ▁em: 0.0651, ▁tải: 0.009, ▁True: 3.9449, cal: 9.6269, ler: 12.0983, ▁về: 0.0274, </s>: 0.0724",3.2325,12.0983
4932,Spaylater Shopee Ko hủy đc mn ơi.,SPayLater Shopee không hủy được mọi người ơi.,"<s>: 0.0147, ▁S: 10.9892, Pay: 11.8726, La: 13.4375, ter: 8.3777, ▁Shop: 0.0253, ee: 0.0007, ▁không: 2.2379, <unk>: 0.4823, ▁được: 0.0469, ▁mọi: 0.043, ▁người: 0.0658, ▁ơi: 0.0308, .: 0.083, </s>: 0.0664",3.1849,13.4375
9392,Giống trg tập 6- 7 SB-MNS lm hòa cái rùi cắt rất nh cảnh HS-SB IG nc vs HS cx bị cắt,Giống trong tập 6- 7 Sangbin-Minasue làm hòa cái rồi cắt rất nhiều cảnh Hyesung-Sangbin Igeon nói chuyện với Hyesung cũng bị cắt,"<s>: 0.0145, ▁Gi: 0.0023, ống: 0.0251, ▁trong: 0.1975, ▁tập: 0.0196, ▁6-: 0.021, ▁7: 0.0123, ▁Sang: 12.7725, bin: 8.6727, -: 4.8425, Min: 7.3821, asu: 10.9792, e: 6.6472, ▁làm: 0.0609, <unk>: 2.3796, ▁cái: 0.0611, ▁rồi: 0.1651, ▁cắt: 0.0007, ▁rất: 0.0087, ▁nhiều: 0.0239, ▁cảnh: 0.0119, ▁Hy: 9.1636, es: 6.3592, ung: 2.5831, -: 1.763, S: 4.142, ang: 4.0456, bin: 7.6695, ▁I: 11.065, ge: 11.338, on: 6.5262, ▁nói: 0.5135, ▁chuyện: 0.0804, ▁với: 0.0659, ▁Hy: 7.5975, es: 1.9194, ung: 0.4553, ▁cũng: 0.7056, ▁bị: 0.0525, ▁cắt: 0.0005, </s>: 0.0778",3.1811,12.7725
8994,hưc e sục đônngj qá mak,hức em xúc động quá mà,"<s>: 0.0152, ▁h: 7.9182, ức: 4.155, ▁em: 0.065, ▁xúc: 10.9194, ▁động: 5.1023, ▁quá: 0.1669, ▁mà: 0.0191, </s>: 0.0916",3.1614,10.9194
8564,Yêu xa khó lắm (Warning: fake text 🔔🦁),Yêu xa khó lắm (Cảnh báo: tin nhắn giả 🔔🦁),"<s>: 0.014, ▁Yêu: 0.0209, ▁xa: 0.016, ▁khó: 0.0357, ▁lắm: 0.0381, ▁(: 0.0731, C: 16.0448, ả: 6.6812, nh: 0.9608, ▁báo: 3.7978, :: 0.0263, ▁tin: 19.796, ▁nhắn: 0.238, ▁giả: 7.2594, ▁: 4.697, <unk>: 0.0664, <unk>: 0.0667, ): 0.044, </s>: 0.0634",3.1547,19.796
9065,M lm trg DJ đúng k?,Mày làm trong Def Jam đúng không?,"<s>: 0.0156, ▁Mà: 0.2964, y: 1.5188, ▁làm: 0.0338, ▁trong: 1.8028, ▁Def: 16.2595, ▁Jam: 14.5303, ▁đúng: 0.0056, ▁không: 0.046, ?: 0.068, </s>: 0.0651",3.1492,16.2595
5237,tai chinh' nka,tài chính nha,"<s>: 0.0144, ▁tài: 8.807, ▁chính: 2.6063, ▁nha: 4.2011, </s>: 0.0905",3.1438,8.807
3013,Happy new year cả nhà,Chúc mừng năm mới cả nhà,"<s>: 0.0138, ▁Chúc: 8.4082, ▁mừng: 9.9134, ▁năm: 6.1571, ▁mới: 0.3363, ▁cả: 0.075, ▁nhà: 0.0815, </s>: 0.1073",3.1366,9.9134
5509,Vote bỏ tech,Vote bỏ Techcombank,"<s>: 0.0153, ▁Vo: 0.001, te: 0.0078, ▁bỏ: 0.0091, ▁Tech: 6.0143, com: 10.1516, bank: 8.8343, </s>: 0.0435",3.1346,10.1516
5185,Spaylater là b vay qua VP bank hay shaooo ấy.,SPayLater là bạn vay qua VPBank hay sao ấy.,"<s>: 0.0154, ▁S: 12.0761, Pay: 11.2536, La: 14.7047, ter: 6.4434, ▁là: 0.1278, ▁bạn: 0.0789, ▁vay: 0.0076, ▁qua: 0.0508, ▁: 0.7272, VP: 0.001, Bank: 7.0315, ▁hay: 0.0246, ▁sao: 0.0127, ▁ấy: 0.0347, .: 0.1029, </s>: 0.0679",3.1036,14.7047
66,Lỗi của thg ku k9 là dr N tự 44 chứ ai ép n 44,Lỗi của thằng cu 2k9 là đúng rồi Nó tự tử chứ ai ép nó tự tử,"<s>: 0.0167, ▁L: 0.0481, ỗi: 0.0057, ▁của: 0.0515, ▁thằng: 0.0475, ▁cu: 8.8643, ▁2: 7.5267, k: 5.7626, 9: 0.0099, ▁là: 0.0439, ▁đúng: 3.3472, ▁rồi: 0.1132, ▁Nó: 0.5528, ▁tự: 0.0167, ▁tử: 15.97, ▁chứ: 1.8914, ▁ai: 0.034, ▁ép: 0.0006, ▁nó: 0.0339, ▁tự: 17.0238, ▁tử: 6.7008, </s>: 0.1041",3.0984,17.0238
1521,m 6 tíh v má ptb đầy chổ mak tr,mày xấu tính vậy má phòng tự bấm đầy chỗ mà trời,"<s>: 0.0152, ▁mày: 0.2514, ▁xấu: 12.5389, ▁tính: 1.0025, ▁vậy: 0.0459, ▁má: 0.0037, ▁phòng: 7.3314, ▁tự: 7.2147, ▁b: 8.2182, ấ: 5.3383, m: 2.193, ▁đầy: 0.0081, ▁chỗ: 4.3033, ▁mà: 0.0258, ▁trời: 0.0531, </s>: 0.0576",3.0376,12.5389
3666,Tks ngừi đẹppp,Thanks người đẹp,"<s>: 0.0159, ▁Thanks: 10.1827, ▁người: 1.56, ▁đẹp: 3.2327, </s>: 0.1294",3.0241,10.1827
340,này ở 365 lĩnh nma nek,này ở 365 Lĩnh Nam nè,"<s>: 0.0152, ▁này: 0.0587, ▁ở: 0.0938, ▁365: 0.0015, ▁L: 14.3798, ĩ: 1.5915, nh: 0.0327, ▁Nam: 9.7628, ▁nè: 3.8588, </s>: 0.4096",3.0205,14.3798
3854,"1186 lê đức thọ, gv đók boà","1186 Lê Đức Thọ, Gò Vấp đó bà","<s>: 0.0148, ▁11: 0.0097, 86: 0.0204, ▁Lê: 10.9329, ▁Đức: 4.4867, ▁Th: 8.0929, ọ: 1.107, ,: 0.1326, ▁G: 6.7306, ò: 6.4692, ▁V: 4.4336, ấ: 3.6833, p: 1.5712, ▁đó: 0.0946, ▁bà: 0.3844, </s>: 0.0664",3.0144,10.9329
8805,bình xường vẫn hp muâhhha,Bình thường vẫn hạnh phúc muahahaha,"<s>: 0.0154, ▁Bình: 7.2517, ▁thường: 3.5467, ▁vẫn: 0.0281, ▁hạnh: 0.0401, ▁phúc: 0.0079, ▁mua: 10.1007, <unk>: 6.097, </s>: 0.0353",3.0137,10.1007
457,"Noái dì nữaaa, ciuu","Nói gì nữa, cute","<s>: 0.0168, ▁Nói: 11.1571, ▁gì: 2.7681, ▁nữa: 3.8175, ,: 0.2559, ▁cute: 2.7831, </s>: 0.0335",2.976,11.1571
1929,8/3 òi mò cho xukem i,8/3 rồi mà cho su kem đi,"<s>: 0.0158, ▁8: 0.0131, /3: 0.0069, ▁rồi: 2.6468, ▁mà: 8.7943, ▁cho: 5.5575, ▁su: 9.6326, ▁kem: 0.6202, ▁đi: 2.3881, </s>: 0.0618",2.9737,9.6326
2912,"Chào e ,e de thw lắm ,a mỹ tho kB nhé","Chào em, em dễ thương lắm, anh Mỹ Tho kết bạn nhé","<s>: 0.0161, ▁Chào: 0.0256, ▁em: 0.0911, ,: 4.8466, ▁em: 1.4834, ▁dễ: 5.7803, ▁thương: 0.0027, ▁lắm: 0.0152, ,: 6.5359, ▁anh: 3.3073, ▁Mỹ: 8.7527, ▁Tho: 4.6927, ▁kết: 11.3329, ▁bạn: 0.0369, ▁nhé: 0.1914, </s>: 0.0591",2.9481,11.3329
9230,Bò thua mỗi cái tên.,Bọ Cạp thua mỗi cái tên.,"<s>: 0.0167, ▁B: 0.0269, ọ: 8.6569, ▁C: 16.3295, ạp: 6.8654, ▁thua: 0.0071, ▁mỗi: 0.0194, ▁cái: 0.0276, ▁tên: 0.0065, .: 0.0959, </s>: 0.0575",2.919,16.3295
1927,Kkk shao lại xình ta,Kaka sao lại xinh ta,"<s>: 0.0157, ▁Kaka: 10.9656, ▁sao: 0.0194, ▁lại: 0.0451, ▁xinh: 9.2521, ▁ta: 0.0484, </s>: 0.0857",2.9189,10.9656
9089,IEM BT,EM BÌNH THƯỜNG,"<s>: 0.0146, ▁EM: 7.3661, ▁B: 1.7814, Ì: 5.0638, NH: 0.3684, ▁TH: 6.5351, ƯỜNG: 1.9243, </s>: 0.069",2.8903,7.3661
4493,Tui sài túi vinamilk thk thuêtj,Tui xài túi Vinamilk thích thiệt,"<s>: 0.0147, ▁Tu: 0.1342, i: 0.0588, ▁x: 3.6309, à: 0.006, i: 0.02, ▁túi: 0.0025, ▁Vin: 9.9059, ami: 7.6697, lk: 1.4215, ▁thích: 1.2975, ▁thiệt: 12.8906, </s>: 0.1949",2.8652,12.8906
4209,"H-hảaa, t cs ph tone hằm đâu cha","H-hả, tôi có phải tomboy ngầm đâu cha","<s>: 0.0186, ▁H: 1.5996, -: 0.1654, h: 0.0495, ả: 0.0544, ,: 3.736, ▁tôi: 0.1791, ▁có: 0.0682, ▁phải: 0.0262, ▁tom: 15.9498, boy: 9.8743, ▁ng: 10.5769, ầ: 4.2148, m: 1.2778, ▁đâu: 0.0688, ▁cha: 0.0065, </s>: 0.0723",2.8199,15.9498
9052,as đù vuýp,A đù vip,"<s>: 0.0156, ▁A: 10.1483, ▁đ: 0.0714, ù: 0.0044, ▁vip: 6.5603, </s>: 0.096",2.816,10.1483
7035,Đôi ơln khách,Đội ơn khách,"<s>: 0.0143, ▁Độ: 11.5253, i: 0.016, ▁ơn: 5.1861, ▁khách: 0.0258, </s>: 0.0607",2.8047,11.5253
5056,2023 bdau nợ nần vì cả tin và thiếu kthuc tc Vay vts momo kredivo shopee vay nhanh cake fe mb bank thẻ tín dụng,2023 bắt đầu nợ nần vì cả tin và thiếu kiến thức tài chính Vay ví trả sau MoMo Kredivo SPayLater vay nhanh Cake FE MB Bank thẻ tín dụng,"<s>: 0.014, ▁2023: 0.0002, ▁bắt: 0.0316, ▁đầu: 0.0021, ▁nợ: 0.0108, ▁n: 0.0425, ầ: 0.0047, n: 0.0248, ▁vì: 0.0608, ▁cả: 0.0371, ▁tin: 0.0086, ▁và: 0.1596, ▁thiếu: 0.0059, ▁kiến: 0.8671, ▁thức: 0.0313, ▁tài: 1.4128, ▁chính: 0.0603, ▁Va: 0.0097, y: 0.0073, ▁ví: 1.6341, ▁trả: 11.9587, ▁sau: 6.4, ▁Mo: 7.2016, Mo: 3.0112, <unk>: 1.5677, vo: 0.0131, ▁S: 14.4321, Pay: 11.7285, La: 14.5237, ter: 8.271, ▁vay: 0.3697, ▁nhanh: 0.0063, ▁Ca: 10.9473, ke: 0.9613, ▁FE: 11.9825, ▁MB: 3.2046, ▁Bank: 3.002, ▁thẻ: 0.0054, ▁tín: 0.0017, ▁dụng: 0.0394, </s>: 0.0874",2.7839,14.5237
1098,Q hinh nhu ik Vinfast,Quan hình như đi Vinfast,"<s>: 0.0154, ▁Quan: 4.2231, ▁hình: 10.1829, ▁như: 7.573, ▁đi: 0.0585, ▁Vin: 0.0009, fast: 0.0011, </s>: 0.0956",2.7688,10.1829
7718,khi blhđ đồ,khi bạo lực học đường đồ,"<s>: 0.0141, ▁khi: 0.0888, ▁bạo: 11.0361, ▁lực: 2.1859, ▁học: 6.3009, ▁đường: 2.3727, ▁đồ: 0.0089, </s>: 0.0818",2.7612,11.0361
5786,Ngày 8/3 đág yêuu của hai cổ^^,Ngày mùng 8 tháng 3 đáng yêu của hai cổ^^,"<s>: 0.0159, ▁Ngày: 0.0187, ▁m: 14.4016, ùng: 0.6147, ▁8: 0.1695, ▁tháng: 7.6541, ▁3: 14.0127, ▁đáng: 0.0033, ▁yêu: 0.0225, ▁của: 0.7907, ▁hai: 0.041, ▁cổ: 0.0054, <unk>: 0.1056, </s>: 0.0773",2.7095,14.4016
6489,Kế toán lương 7 của,Kế toán lương 7 củ à,"<s>: 0.014, ▁Kế: 0.0046, ▁toán: 0.013, ▁lương: 0.0117, ▁7: 0.0209, ▁củ: 11.8783, ▁à: 9.3236, </s>: 0.1035",2.6712,11.8783
1406,Tuỳ ng thui b ơi,Tùy người thôi bạn ơi,"<s>: 0.0165, <unk>: 11.5982, ▁người: 6.8852, ▁thôi: 0.0199, ▁bạn: 0.0419, ▁ơi: 0.0216, </s>: 0.092",2.6679,11.5982
4615,"K cọc, k sa.le, k đào lửa nka các bác","Không cọc, không sale, không lừa đảo nha các bác","<s>: 0.015, ▁Không: 0.2502, ▁c: 0.0399, ọc: 0.0012, ,: 0.0886, ▁không: 0.0653, ▁sale: 10.2527, ,: 1.9051, ▁không: 0.0742, ▁lừa: 14.1631, ▁đảo: 12.9234, ▁nha: 0.0318, ▁các: 0.0452, ▁bác: 0.0093, </s>: 0.0558",2.6614,14.1631
8922,khoẻ z thiệt ds hả😭😭😭,khỏe vậy thiệt đó hả 😭😭😭,"<s>: 0.0145, <unk>: 10.3815, ▁vậy: 7.7183, ▁thiệt: 0.3796, ▁đó: 0.0249, ▁hả: 0.006, ▁: 7.7569, <unk>: 0.0442, <unk>: 0.0523, <unk>: 2.7478, </s>: 0.0869",2.6557,10.3815
21,Omg job kiếm đâu ngol zị.,Oh my god job kiếm đâu ngon vậy.,"<s>: 0.0154, ▁Oh: 4.0912, ▁my: 8.6731, ▁god: 10.2263, ▁job: 5.8809, ▁kiếm: 0.008, ▁đâu: 0.0246, ▁ngon: 0.0201, ▁vậy: 0.0783, .: 0.1174, </s>: 0.0666",2.6547,10.2263
4283,T tê c LOL th chứ bên VAL lm EDG c này.,Tôi tê con LoL thôi chứ bên Valorant làm EDG con này.,"<s>: 0.0156, ▁Tôi: 0.2035, ▁tê: 0.0392, ▁con: 0.4584, ▁Lo: 17.5745, L: 3.1869, ▁thôi: 0.0109, ▁chứ: 0.0122, ▁bên: 0.016, ▁Valor: 12.9815, ant: 12.1026, ▁làm: 0.0516, ▁E: 0.1584, DG: 0.0003, ▁con: 0.378, ▁này: 0.0425, .: 0.0892, </s>: 0.0599",2.6323,17.5745
2784,Quen iem cho gừn nèk bây bi 🌹,Quen em cho gần nè baby 🌹,"<s>: 0.015, ▁Que: 0.0057, n: 0.0486, ▁em: 0.2611, ▁cho: 0.1256, ▁gần: 7.0398, ▁nè: 0.0049, ▁baby: 14.0922, ▁: 7.1156, <unk>: 0.0957, </s>: 0.0655",2.6245,14.0922
312,Lêu lêu Cau giay nek,Lêu lêu Cầu Giấy nè,"<s>: 0.0162, ▁Lê: 0.0056, u: 0.0262, ▁lê: 0.0007, u: 0.0241, ▁Cầu: 12.4937, ▁Giấy: 0.8906, ▁nè: 9.5882, </s>: 0.2771",2.5914,12.4937
7994,đánh dau mih voi,đánh dấu mình với,"<s>: 0.0146, ▁đánh: 0.0131, ▁dấu: 7.7513, ▁mình: 0.0931, ▁với: 7.624, </s>: 0.0441",2.59,7.7513
599,Víp wa v,Vip quá vậy,"<s>: 0.015, ▁Vip: 12.8214, ▁quá: 0.0171, ▁vậy: 0.0248, </s>: 0.0712",2.5899,12.8214
5559,ủa zụ đào lửa lsao z,ủa vụ lừa đảo là sao vậy,"<s>: 0.0152, ▁: 0.0795, ủ: 0.0135, a: 0.039, ▁vụ: 0.0648, ▁lừa: 13.3421, ▁đảo: 13.1385, ▁là: 1.1076, ▁sao: 0.2306, ▁vậy: 0.3134, </s>: 0.074",2.5835,13.3421
8835,Tự checkin linh hoạt ạk,Tự check-in linh hoạt ạ,"<s>: 0.0144, ▁Tự: 0.0302, ▁check: 0.0102, -: 9.0912, in: 13.9182, ▁linh: 0.0017, ▁hoạt: 0.0484, ▁ạ: 0.0171, </s>: 0.0802",2.5791,13.9182
2611,dĩa huông théee,dễ thương thế,"<s>: 0.0151, ▁dễ: 12.247, ▁thương: 0.0072, ▁thế: 0.5085, </s>: 0.0651",2.5686,12.247
4306,Chéo fl hông huỷ nek,Chéo follow không hủy nè,"<s>: 0.015, ▁Ché: 0.0001, o: 0.0381, ▁follow: 0.0376, ▁không: 0.0292, <unk>: 8.6192, ▁nè: 11.5595, </s>: 0.1668",2.5582,11.5595
