,text,target
64,"3 tháng đầu e dùng moony, còn hơn 3 tháng e dùng naturelovemere xen kẽ zới momo rabbit ạk.","3 tháng đầu em dùng Moony, còn hơn 3 tháng em dùng Nature Love Mere xen kẽ với Momo Rabbit ạ."
65,CTY TNHH REDCRAB TUYỂN NVIEN BÁN HÀNG FULLTIME,CÔNG TY TRÁCH NHIỆM HỮU HẠN REDCRAB TUYỂN NHÂN VIÊN BÁN HÀNG FULLTIME
66,Zạ vang em kảm ơn ạk,Dạ vâng em cảm ơn ạ
67,Cj oii cho e hỏi cj cs pass tlieu hòi ôn đtuyen hem ạk.,Chị ơi cho em hỏi chị có pass tài liệu hồi ôn đội tuyển không ạ.
68,tr ơi soft xỉu chuyện tình iu của 2 cn ngừi nàyyy xin vía nhenn hh cho tui hỏi xíuu bà k mấy zay <3 tại thấyy giỏii qs,trời ơi soft xỉu chuyện tình yêu của 2 con người này xin vía nhen hi cho tui hỏi xíu bà sinh năm bao nhiêu vậy <3 tại thấy giỏi quá
69,Đcm dụ j,Địt con mẹ vụ gì
70,"dã man v cha, sức chịu nổi 3 trận lun as😭?","Dã man vậy cha, sức chịu nổi ba trận luôn á 😭?"
71,Cm qa thông thái!,Comment quá thông thái!
72,Zạaaa😽😽 t kảm ơn nhaa,Dạ tui cảm ơn nha
73,ủa dzị là b K ms k8 thui hả:),ủa vậy là bạn K mới 2k8 thôi hả
74,xog cs uỷ quyền cho 1 ng lm ziệc zới bên toà.,xong có ủy quyền cho 1 người làm việc với bên tòa.
75,Tiện cho em hỏi app đen cs bị lên cic nậu xớ k ạk ?,Tiện cho em hỏi app đen có bị lên CIC nợ xấu không ạ ?
76,hơn 1 năm òi ạk,Hơn một năm rồi ạ
77,ko lắy gương là bị csgt phạt chết🤣,không lấy gương là bị cảnh sát giao thông phạt chết🤣
78,Gần nhà mk neen khi an lạc Hoài Đức b a,Gần nhà mình nên khi An Lạc Hoài Đức bạn ạ
79,Tôi còn tập ở đók 1/ngày 2/cử,Tôi còn tập ở đó 1 ngày 2 cử
80,"Đặng văn ngữ, đống đa, hà nội em nhaa ❤️","Đặng Văn Ngữ, Đống Đa, Hà Nội em nha ❤️"
81,Hwh: s mấy khúc này n chừa mik ra z 🥲,Han Wangho: sao mấy khúc này nó chừa mình ra vậy 🥲
82,sốp đợi iemmmm cs ghệ iem ord lìn :3,shop đợi em có ghệ em order liền :3
83,Chắc de nợ xấu rùi sau nayd trả chứ ht gồng nỗi r,Chắc để nợ xấu rồi sau này trả chứ hết gồng nổi rồi
84,"trưa nhảy jet jet quậy banh cái live mak tối bày đặt nhạc buồn, 7 tình =)))","trưa nhảy giật giật quậy banh cái live mà tối bày đặt nhạc buồn, thất tình =)))"
85,zạ hjc đọc màk sợ qá ạk :(((((,dạ hic đọc mà sợ quá ạ :(((((
86,Ảnh thoại lm toy cừi đến chec lun 🤣🤣🤣,Anh thoại làm tôi cười đến chết luôn 🤣🤣🤣
87,ckồnq b nungcac ah mk hỏi tht đấy :),chồng bạn nứng cặc à mình hỏi thật đấy :)
88,Chán luonn nên cặp HS- SB mấy tập đók k cs j coi nh cả .,Chán luôn nên cặp Hyesung- Sangbin mấy tập đó không có gì coi nhiều cả .
89,"Tử tham linh hoả kỵ ở mệnh, nội tâm mâu thuẫn phức tạp nửa đời nửa đạo.","Tử Tham Linh Hỏa Kỵ ở Mệnh, nội tâm mâu thuẫn phức tạp nửa đời nửa đạo."
90,dũa form móng ko kỳ cháng quớ 🥹,dũa form móng không kỹ chán quá 🥹
91,Dòi oiii qa đỉnhhhh,Trời ơi quá đỉnh
92,Em ở phù ninh ạk,Em ở Phù Ninh ạ
93,Í là cái khúc 6 Tút phản bội 2 Thành là điều tất yếu ph xra í.,Ý là cái khúc Sáu Tút phản bội Hai Thành là điều tất yếu phải xảy ra ý.
94,Ở biên hoà cs cổng ty nào trg kcn tuyển kế toán kh ạk🥲,Ở Biên Hòa có công ty nào trong khu công nghiệp tuyển kế toán không ạ🥲
95,Ui ah iu ja trửn wa gu iem,Ui anh yêu gia trưởng quá gu em
96,mak t để 1 đống( 1 đơn spx 7 đơn vtp) hèn chi lúc chạy về gặp ổng ổng nhìn t như kẻ phản bội 🤡,mà tôi để một đống ( một đơn Shopee Express bảy đơn Viettel Post ) hèn chi lúc chạy về gặp ổng ổng nhìn tôi như kẻ phản bội 🤡
97,Tao quyết phá cái ổ gạ b.u' trg fong xông hơi của citigym trg chinh 💪🏻 Tao cho tụi bây nhục mặt ra thử coi còn cái tật ik xin b.u' dạo ko .,Tao quyết phá cái ổ gạ bú trong phòng xông hơi của Citigym Trường Chinh 💪🏻 Tao cho tụi bây nhục mặt ra thử coi còn cái tật đi xin bú dạo không .
98,3 trận là 3 nháy hả 😭,Ba trận là ba nháy hả 😭
99,Ơ ava gái xênh cụa mik đâu rùi ạk,Ơ avatar gái xinh của mình đâu rồi ạ
100,Mk tạo list xog lưu bác ạk,Mình tạo danh sách xong lưu bác ạ
101,n hảm lô xàm chó đấy bn,nó hãm lồn xàm chó đấy bạn
102,M ƠI M ĐIÊN VAIZ LOZ,MÀY ƠI MÀY ĐIÊN VÃI LỒN
103,Còn Liêm Tham tật ách thì dễ bệnh huyết dk ạk.,Còn Liêm Tham Tật Ách thì dễ bệnh huyết đúng không ạ.
104,"Câu chuyện kthuc ở đây h khều D9, D10 dùm toi nka🫂🫂","Câu chuyện kết thúc ở đây giờ khều Day 9, Day 10 giùm tôi nha 🫂🫂"
105,Lụm lụm hồi t tưởng đâu cfs rumor idol kpop,Lụm lụm hồi tôi tưởng đâu confession rumor idol K-pop
106,Oi tht là lucky Vicky chá nà ^^,Ôi thật là lucky Vicky quá nè ^^
107,rấc iuuu mặc dù quát cno rất mệc,rất yêu mặc dù quát chúng nó rất mệt
108,Thắng đậm cmnl :)),Thắng đậm con mẹ nó luôn :))
109,"Vị trí: CSKH lm T2-T6 k yêu cầu kn, lương 6-7m (part), 8-10m (full) cs thg nóng lun màk k bị zdí kpi.","Vị trí: Chăm sóc khách hàng làm Thứ 2 - Thứ 6 không yêu cầu kinh nghiệm, lương 6-7 triệu (part-time), 8-10 triệu (full-time) có thưởng nóng luôn mà không bị dí KPI."
110,2 cn cá ph top 1🥲,Hai con cá phải top 1 🥲
111,Cỵ phá sản mak chúc mừng quằn qè,Chị phá sản mà chúc mừng quần què
112,Kn 5 năm quen gái h quen zai lét nào mún hỏi j nhắn c nèk kk,Kinh nghiệm năm năm quen gái giờ quen trai les nào muốn hỏi gì nhắn chị nè kkk
113,Iu dzữ vị ta😍😍,Yêu dữ vậy ta😍😍
114,:)) ôi v ăn đứt isushi,:)) ôi vậy ăn đứt iSushi
115,rep ig mìh vs ạk,trả lời Instagram mình với ạ
116,B lm tnao để cs thể pin đc địa điểm lên gg map v ạk,Bạn làm thế nào để có thể ghim được địa điểm lên Google Maps vậy ạ
117,Khóai vai ák zữ z bà,Khoái vai ác dữ vậy bà
118,"Xoá chi má, yên tâm ik t k fan nhà nào ht as.","Xóa chi má, yên tâm đi tao không fan nhà nào hết á."
119,Tuyệt zờiiiiiiiiiiii qá điiii.,Tuyệt vời quá đi.
120,mắc cdgi khủng bố t bằng toán hình,mắc cái đầu gì khủng bố tôi bằng toán hình
121,uhm đẹp zai là t oke 🤡,ừ đẹp trai là tôi ok 🤡
122,Lô ơi em iu lô nhìu lắm😫,Lô ơi em yêu Lô nhiều lắm 😫
123,BỐ ƠI N QUÊ,BỐ ƠI NÓ QUÊ
124,Đẹp đuyên lênnnnnn,Đẹp điên lên
125,thoải mái ik cây vàng qa hạn 13 ngày vayvnd wa hạn 5 ngày ây,thoải mái đi cây vàng quá hạn 13 ngày VayVND quá hạn 5 ngày đây
126,Ib cj đezzz,Inbox chị đi
127,Ối đổi wtm ms đẹp thía,Ối đổi watermark mới đẹp thế
128,Bé o vs chú ik,Bé ở với chú đi
129,ê nmà thạch trang là ai zậy bây?,ê nhưng mà Thạch Trang là ai vậy bây?
130,Cty tui ở KCN sông mây nka.,Công ty tui ở Khu công nghiệp Sông Mây nha.
131,rất soft ạk😭,rất soft ạ 😭
132,Tuyển full thui nka,Tuyển full-time thôi nha
133,Hỏi trump ý b ơi,Hỏi Trump ý bạn ơi
134,"em đăng kí nx ik , còn nh app lắm em ạk , a cs gim linh đók em ạk","em đăng ký nữa đi , còn nhiều app lắm em ạ , anh có ghim link đó em ạ"
135,':))) SN đc 1 tháng thui là ht r,':))) Song Ngư được một tháng thôi là hết rồi
136,Chắc mai mốt ảnh hẹn sơn k ik xem thời sự lun wa^^,Chắc mai mốt ảnh hẹn Sơn.K đi xem thời sự luôn quá^^
137,"t đag yêu xa và t hay nốn lừng lắm cm ơi,t hay xem sẽ để móc í,có cách nào bớt bớt lại kh huhu🥹😭","tao đang yêu xa và tao hay nứng lồn lắm chúng mày ơi, tao hay xem sex để móc ý, có cách nào bớt bớt lại không huhu 🥹😭"
138,Còn burberry thui ah,Còn Burberry thôi ạ
139,Tầm tuổi này ba mik chạy shoppee hay grap dko nhỉ ?,Tầm tuổi này ba mình chạy Shopee hay Grab được không nhỉ ?
140,Bc lại cs map ẩn hả b,Bảo Công lại có map ẩn hả bạn
141,hâhha dth thệ,haha dễ thương thật
142,Ê đọc xonq cs động lực ghee ht pùn lun thank mom nhé,Ê đọc xong có động lực ghê hết buồn luôn cảm ơn mom nhé
143,b t: đừng nên yêu xa❎ :✅,bạn tôi: đừng nên yêu xa ❎ : ✅
144,"em cg suýt bị dao lửa , kảm ơn ah ạk , em cx va y ddc cn moneveo chống đói r ạk","em cũng suýt bị lừa đảo , cảm ơn anh ạ , em cũng vay được con Moneveo chống đói rồi ạ"
145,"=)))))))) cdo hỏi thẳng Mason coi, r kêu Mason cơ cấu cho gặp CONGB ik chứ t cx chịu","=)))))))) con dở hỏi thẳng Mason coi, rồi kêu Mason cơ cấu cho gặp CÔNG B đi chứ tao cũng chịu"
146,s m ko ns ny ở đâu để ik date?,sao mày không nói người yêu ở đâu để đi hẹn hò?
147,Ngừi ta là tình iu gà bông mò ~,Người ta là tình yêu gà bông mà ~
148,tiền nào chịu nỗi album card hả chời,tiền nào chịu nổi album card hả trời
149,bà ui bà ơi đâu ạk,bà ơi bà ở đâu ạ
150,Dr mk bó này nka,Direct mình bó này nha
151,"Bà lô ơi bà lô, tiếng ns khán giả neh","Bà Lô ơi bà Lô, tiếng nói khán giả nè"
152,ko dc gọi tên theo giấy ksinh thui còn bdanh vẫn dc dko ạk,không được gọi tên theo giấy khai sinh thôi còn biệt danh vẫn được đúng không ạ
153,R zone mưa lửa thì tất cả sẽ thành fan má BB,Rồi zone mưa lửa thì tất cả sẽ thành fan má BigDaddy
154,"bn ơi, shao thấu mik đổi wtm b cx đua đòi z???","bạn ơi, sao thấy mình đổi watermark bạn cũng đua đòi vậy???"
155,Phí tuỳ tâm nhé.,Phí tùy tâm nhé.
156,ô n rén xoá mẹ vid r cả lò kkkk,ô nó rén xóa mẹ video rồi cả lò kaka
157,Em lm cskh tư vấn thì ib c nhé lương 7m-10m,Em làm chăm sóc khách hàng tư vấn thì inbox chị nhé lương 7 triệu - 10 triệu
158,"Năm nay lm lại , k vướng cbm nx .","Năm nay làm lại , không vướng cờ bạc mạng nữa ."
159,Cs yc kinh no k ạk,Có yêu cầu kinh nghiệm không ạ
160,Tô bà nhìn ngol wa mak tui q12 lựn :( bữa nào ik củ chi tui ghé nho 😙,Tô bà nhìn ngon quá mà tui Quận 12 lận :( bữa nào đi Củ Chi tui ghé nha 😙
161,t cung muốnn,tao cũng muốn
162,C N cx pmg bỏ mẹ ra:))) khiếp c H hãm thì c này cx k dzừa🤗 gơn hok vấn dzới gơn gia z ko c nào dzừa c nào,Con Ngọc cũng pick me girl bỏ mẹ ra:))) khiếp con Hàn hãm thì con này cũng không vừa🤗 girl học vấn với girl gia thế không con nào vừa con nào
163,Ở ĐÂY ĂN NGOL VCL THIỆC SỰ SAU NÀY MÌNK ĂN NH CHỖ RÒI MAK K NGOL BẰNG CHỖ NÌ Í 🥹🥹🥹 bà dth lắm,Ở ĐÂY ĂN NGON VÃI CẢ LỒN THIỆT SỰ SAU NÀY MÌNH ĂN NHIỀU CHỖ RỒI MÀ KHÔNG NGON BẰNG CHỖ NÀY Ý 🥹🥹🥹 bà dễ thương lắm
164,Binh dương hay đâu bé,Bình Dương hay đâu bé
165,ai biếtxem tử vi hữu duyên xem hộ mìnk xem lá này lm ngành j phù hợp z ạk skhoe bm ace thấy dnay nh ng up lá số tử vi lên tho ret luận giải lá so qua tr,ai biết xem tử vi hữu duyên xem hộ mình xem lá này làm ngành gì phù hợp vậy ạ sức khỏe bố mẹ anh chị em thấy dạo này nhiều người up lá số tử vi lên threads luận giải lá số quá trời
166,Lét r 😭,Nét rồi 😭
167,Bờ vai thái bình dương🫰🏻,Bờ vai Thái Bình Dương🫰🏻
168,"lấy bài vở ra hc, lấy lap ra chạy deadline ht đeeee 😇","Lấy bài vở ra học, lấy laptop ra chạy deadline hết đê 😇"
169,=)))))) dcm bcuoi địt chịu,=)))))) địt con mẹ buồn cười đéo chịu được
170,Tks chj ạk sẽ về nghiên cíu đân 🫶🏻,Thanks chị ạ sẽ về nghiên cứu dần 🫶🏻
171,tui đọc mấy bài của bà mak còn thik hơn đọc bhtt nx 😭,tôi đọc mấy bài của bà mà còn thích hơn đọc bách hợp tiểu thuyết nữa 😭
172,Như này b ạk😔,Như này bạn ạ 😔
173,Cnay ba mẹ ph trã ak?,Cái này ba mẹ phải trả à?
174,"Phí xem tuỳ tâm, phí lễ thì tuỳ lễ nka.","Phí xem tùy tâm, phí lễ thì tùy lễ nha."
175,Mik nhận xem tarot phí tuỳ tâm nhaa,Mình nhận xem tarot phí tùy tâm nha
176,ồh tks bác,ồ thanks bác
177,Omg tôi cx 9đ toán nek.,Oh my god tôi cũng 9 điểm toán nè.
178,"Em xài srm Cerave từ 2016 ấy ạk, dịu nhẹ êm da lắm chj ạk","Em xài sữa rửa mặt CeraVe từ 2016 ấy ạ, dịu nhẹ êm da lắm chị ạ"
179,"Sốp ở đặng văn ngữ, hà nội em nka ❤️","Shop ở Đặng Văn Ngữ, Hà Nội em nha ❤️"
180,bao giám đốc cty hay côg an bắt n,báo giám đốc công ty hay công an bắt nó
181,Cung mệnh của mk dzừa cs tử vi dzừa cs phá quân,Cung mệnh của mình vừa có Tử Vi vừa có Phá Quân
182,Đcm côg nhận ứa gan vcl cứ lôi ES vs KTS ra ôi đcm bú quả fame cho đến khi cạn sạch àh chửi MH thì đm cũg ph chửi hội MN zô duyên vcl nyc cs nym r cứ lảm nhảm về vc mih đc vt về bài ES vs KTS 🙂,Địt con mẹ công nhận ứa gan vãi cả lồn cứ lôi Em Suýt vs Không Thể Say ra ôi địt con mẹ bú quả fame cho đến khi cạn sạch à chửi Mỹ Hàn thì địt mẹ cũng phải chửi hội Mỹ Ngọc vô duyên vãi cả lồn người yêu cũ có người yêu mới rồi cứ lảm nhảm về việc mình được viết về bài Em Suýt với Không Thể Say 🙂
183,"Mai liệu camera nhà Huy comeback thr nx k, t thấy linh nyc khôi cback r","Mai liệu camera nhà Huy comeback threads nữa không, tôi thấy Linh người yêu cũ Khôi comeback rồi"
184,Hỏi thiệc k dỡn,Hỏi thiệt không giỡn
185,Zạ hnay hoa cs giá 1.250k/10 cành ạk.,Dạ hôm nay hoa có giá 1.250.000/10 cành ạ.
186,bách live app nào v ạk ?,Bách live app nào vậy ạ?
187,"100m ở VN cx cs mak, Axon, mckinsey, worldquant vẫn 5k-8k","100 triệu ở Việt Nam cũng có mà, Axon, McKinsey, WorldQuant vẫn 5k-8k"
188,Cho xin list lẩu vs phở zới b,Cho xin danh sách lẩu với phở với bạn
189,"Ă đù, cuối cùng ngày này đã đến","A đù, cuối cùng ngày này đã đến"
190,"bn va y tnao v ậy , hd mik vs đc k bn ơi","bạn vay thế nào vậy , hướng dẫn mình với được không bạn ơi"
191,Ovtk thay cho vk sau sinh 🤣🤣,Overthinking thay cho vợ sau sinh 🤣🤣
192,Tôi xin list quán đồ Hàn vs ăn vặt dko bác ơii,Tôi xin danh sách quán đồ Hàn với ăn vặt được không bác ơi
193,Dương nữ p tìm âm nam àk😅,Dương Nữ phải tìm Âm Nam à😅
194,Ziệc lm tiếng trung hà nội,Việc làm tiếng Trung Hà Nội
195,yckn ko ạk,yêu cầu kinh nghiệm không ạ
196,qtrong là mẹ khoẻ ebe khoẻ còn chuyện cân nặng cứ từ từ,quan trọng là mẹ khỏe em bé khỏe còn chuyện cân nặng cứ từ từ
197,K ghen mak móc mỉa ah Ngưn quài dị mèo =)))),Không ghen mà móc mỉa anh Ngân hoài vậy mèo =))))
198,Ib Ju nek💕 R xem chi tiết lắm,Inbox Ju nè💕 Reader xem chi tiết lắm
199,"Cô Liên , 52 văn yên nhé.","Cô Liên , 52 Văn Yên nhé."
200,B về xã thái xuyên thái bình mk chỉ cô xem bói cực chuẩn lun í,Bạn về xã Thái Xuyên Thái Bình mình chỉ cô xem bói cực chuẩn luôn ý
201,Zạ tịm tuyển parttime thui nek,Dạ tiệm tuyển part-time thôi nè
202,Đời còn dài và giai còn nh Em!,Đời còn dài và trai còn nhiều em!
203,cần tìm sub hoặc slv máu M,cần tìm sub hoặc slave máu M
204,C ng tam nông,Chị người Tam Nông
205,cin vía huhu,xin vía huhu
206,B oiz cho tớ xin jb,Bạn ơi cho tớ xin job
207,NHỤC VL CMAY ƠI,NHỤC VÃI LỒN CHÚNG MÀY ƠI
208,=(( Rấc cần các list ăn uống ợ HCM ạk,=(( Rất cần các danh sách ăn uống ở Hồ Chí Minh ạ
209,Pub cả tên cty lun,Public cả tên công ty luôn
210,mk mệnh mộc nek,mình mệnh Mộc nè
211,"j s toan ng quen tke, NGẠI QÁ NHÉ!","gì sao toàn người quen thế, NGẠI QUÁ NHÉ!"
212,Các nhóm nam NW cx quậy wa tr quậy.,Các nhóm nam Nextway cũng quậy quá trời quậy.
213,thík gái thẳng cùng trg (ep cuối),thích gái thẳng cùng trường (tập cuối)
214,Haha còn ten xíu ch vẫn tuyển bth nka…,Haha content xíu chứ vẫn tuyển bình thường nha…
215,"Tuỳ nhà tuỳ cụ thui, nh nhà k bik thờ cúng, cs nhà thì gia tiên zo dụng","Tùy nhà tùy cụ thôi, nhiều nhà không biết thờ cúng, có nhà thì gia tiên vô dụng"
216,màk nếu đúng như nhx j bà ns thì mẻ pmg thiec=)),mà nếu đúng như những gì bà nói thì mẻ pick me girl thật=))
217,t hdan lm nhenn,tôi hướng dẫn làm nhen
218,đúng t3 luỵ vc,đúng tháng 3 lụy vãi chưởng
219,hèn vầy mạnh dạn ảo gây ik,hèn vậy mạnh dạn ảo gay đi
220,đến dzới nhau điiii😭😭,đến với nhau đi 😭😭
221,Uh Đọc xog lại ghec nyc thêm Djtcmm,Uh Đọc xong lại ghét người yêu cũ thêm Địt con mẹ mày
222,"Tuỳ ct th bn, thg cty nào đông nlđ thì khi nào nhận yêu cầu HR ms gửi","Tùy công ty thôi bạn, thường công ty nào đông người lao động thì khi nào nhận yêu cầu HR mới gửi"
223,Bị đin ràu,Bị điên rồi
224,j t toàn ghost ngta:)) t t7,gì tôi toàn ghost người ta :)) tôi tháng 7
225,Lố 4kg gòi!,Lố 4 ký rồi!
226,Tưởng xem doremon😔,Tưởng xem Doraemon😔
227,"3qg,2 tỉnh ,9,5 hoá thì gia sư tầm 50/h ổn ko ạk","3 quốc gia,2 tỉnh ,9,5 hoá thì gia sư tầm 50k/giờ ổn không ạ"
228,Confirm là ngol nhắm ạaa.,Confirm là ngon lắm ạ.
229,Em cs nộp cty unipax lun rùi í hjc,Em có nộp công ty Unipax luôn rồi ý hic
230,"a hd em v ay vs ạk , e bí qa caanf vay 1tr ạk","anh hướng dẫn em vay với ạ , em bí quá cần vay 1 triệu ạ"
231,"Zạ ún cafe thì ới em nka Shop ơiii, cafe nguyên chất đăk lăk nhà trồng ạk 🥰","Dạ uống cà phê thì ới em nha Shop ơi, cà phê nguyên chất Đắk Lắk nhà trồng ạ 🥰"
232,Túi vinamilk xanh mua ở đâu z mom,Túi Vinamilk xanh mua ở đâu vậy mom
233,Năm này t hc nh thiệc bà ạk,Năm này tui học nhiều thiệt bà ạ
234,Tuyển CSKH tiếng trung nka,Tuyển chăm sóc khách hàng tiếng Trung nha
235,O đâu cj,Ở đâu chị
236,T thấy cgai vn mìnk chs game V cg nh màk 🤨,Tôi thấy con gái Việt Nam mình chơi game Valorant cũng nhiều mà 🤨
237,Mak đã v mẹ Cá còn là ủma nx =))))) chứng tỏ ủma Ziệt mạnh vl !,Mà đã vậy mẹ Cá còn là ARMY nữa =))))) chứng tỏ ARMY Việt mạnh vãi lồn !
238,Đã buồn r chớ😭😭,Đã buồn rồi chứ 😭😭
239,Fe hay cttc cs xuống nhà đók lo xoay app đen mag trả,FE hay cttc có xuống nhà đó lo xoay app đen mang trả
240,C KẢM ƠN BỐ TI ĐÃ CHOA C SUỘC ÂU IK CỰC XINHH!!,CON CẢM ƠN BỐ TI ĐÃ CHO CON SUỘC AUDI CỰC XINH!!
241,Hồi đók tui ik thực tập ở toà thấy mấy nh kiện khách hàng thiếu nợ đồ í,Hồi đó tui đi thực tập ở tòa thấy mấy ngân hàng kiện khách hàng thiếu nợ đồ ý
242,khong yeu nua,không yêu nữa
