sentence,list
Chúng tôi đang cố cho anh trở lại công việc.,"['Chúng', 'tôi', 'đang', 'cố', 'cho', 'anh', 'trở', 'lại', 'công', 'việc.']"
"Ta gọi đó là, nói cứng, từ 1 lão béo 1 mắt.","['Ta', 'gọi', 'đó', 'là,', 'nói', 'cứng,', 'từ', '1', 'lão', 'béo', '1', 'mắt.']"
và má em cũng có vị muối.,"['và', 'má', 'em', 'cũng', 'có', 'vị', 'muối.']"
Không biết có tiện cho anh không,"['Không', 'biết', 'có', 'tiện', 'cho', 'anh', 'không']"
"Tôi đang thử cách tiếp xúc, không có gì cả","['Tôi', 'đang', 'thử', 'cách', 'tiếp', 'xúc,', 'không', 'có', 'gì', 'cả']"
Tôi không thể nói cho ai nghe về những vấn đề cá nhân của tôi.,"['Tôi', 'không', 'thể', 'nói', 'cho', 'ai', 'nghe', 'về', 'những', 'vấn', 'đề', 'cá', 'nhân', 'của', 'tôi.']"
"C¾i gÉ, mÑi ngõñi cì vÕ hoÂt n¾o viãn","['C¾i', 'gÉ,', 'mÑi', 'ngõñi', 'cì', 'vÕ', 'hoÂt', 'n¾o', 'viãn']"
Dân Canada muốn mua một hậu vệ bóng gậy trên băng.,"['Dân', 'Canada', 'muốn', 'mua', 'một', 'hậu', 'vệ', 'bóng', 'gậy', 'trên', 'băng.']"
 Thật ra thì tôi quăng đó  Nói gì chứ?,"['Thật', 'ra', 'thì', 'tôi', 'quăng', 'đó', 'Nói', 'gì', 'chứ?']"
Em chẳng bao giờ tìm thấy gì trong cái túi Buick này.,"['Em', 'chẳng', 'bao', 'giờ', 'tìm', 'thấy', 'gì', 'trong', 'cái', 'túi', 'Buick', 'này.']"
Sở thích và thói quen làm tôi có thể sống được.,"['Sở', 'thích', 'và', 'thói', 'quen', 'làm', 'tôi', 'có', 'thể', 'sống', 'được.']"
"Nhớ lời cậu hứa chứ Balthazar, không.","['Nhớ', 'lời', 'cậu', 'hứa', 'chứ', 'Balthazar,', 'không.']"
"ừ, mai đến sớm chút sư phụ, chúng con về","['ừ,', 'mai', 'đến', 'sớm', 'chút', 'sư', 'phụ,', 'chúng', 'con', 'về']"
quát về chuyện anh trai mình cứ như đó là lỗi của tôi.,"['quát', 'về', 'chuyện', 'anh', 'trai', 'mình', 'cứ', 'như', 'đó', 'là', 'lỗi', 'của', 'tôi.']"
"- Yancey, anh sẽ hứa với em thiệt chớ?","['-', 'Yancey,', 'anh', 'sẽ', 'hứa', 'với', 'em', 'thiệt', 'chớ?']"
Làm thế nào tôi biết được anh có chơi tôi hay không Anh không biết à?,"['Làm', 'thế', 'nào', 'tôi', 'biết', 'được', 'anh', 'có', 'chơi', 'tôi', 'hay', 'không', 'Anh', 'không', 'biết', 'à?']"
Người giúp việc của vợ anh tên là Chana?,"['Người', 'giúp', 'việc', 'của', 'vợ', 'anh', 'tên', 'là', 'Chana?']"
"- Không, chỉ có Hall và Oates thôi","['-', 'Không,', 'chỉ', 'có', 'Hall', 'và', 'Oates', 'thôi']"
Chỗ này chắc là một cái giường ngủ lớn.,"['Chỗ', 'này', 'chắc', 'là', 'một', 'cái', 'giường', 'ngủ', 'lớn.']"
"Không phải ""ở đâu"" mà là năm nào.","['Không', 'phải', '""ở', 'đâu""', 'mà', 'là', 'năm', 'nào.']"
Tụi mày có nghĩ rằng nên quay lại không?,"['Tụi', 'mày', 'có', 'nghĩ', 'rằng', 'nên', 'quay', 'lại', 'không?']"
"Bây giờ tao phải đi săn với một cái giá trên đầu tao, cảnh sát bám gót tao.","['Bây', 'giờ', 'tao', 'phải', 'đi', 'săn', 'với', 'một', 'cái', 'giá', 'trên', 'đầu', 'tao,', 'cảnh', 'sát', 'bám', 'gót', 'tao.']"
Tôi chắc mình đã đóng góp đủ.,"['Tôi', 'chắc', 'mình', 'đã', 'đóng', 'góp', 'đủ.']"
Ông đã bán mình cho nước Mỹ rồi.,"['Ông', 'đã', 'bán', 'mình', 'cho', 'nước', 'Mỹ', 'rồi.']"
Thế còn sự tỉnh táo của mày?,"['Thế', 'còn', 'sự', 'tỉnh', 'táo', 'của', 'mày?']"
Huynh sẽ thay đệ nhậm chức đô đốc.,"['Huynh', 'sẽ', 'thay', 'đệ', 'nhậm', 'chức', 'đô', 'đốc.']"
Những người ngồi ở cánh phải vui lông xuống máy bay!,"['Những', 'người', 'ngồi', 'ở', 'cánh', 'phải', 'vui', 'lông', 'xuống', 'máy', 'bay!']"
Lắng nghe những báo cáo của cảnh sát.,"['Lắng', 'nghe', 'những', 'báo', 'cáo', 'của', 'cảnh', 'sát.']"
- Chiến dịch này là một môn thể thao cho chúng.,"['-', 'Chiến', 'dịch', 'này', 'là', 'một', 'môn', 'thể', 'thao', 'cho', 'chúng.']"
"tôi rất hi vọngtừ phút này tất cả mọi người có thể học hiểu được, làm sao để tôn trọng lẫn nhau","['tôi', 'rất', 'hi', 'vọngtừ', 'phút', 'này', 'tất', 'cả', 'mọi', 'người', 'có', 'thể', 'học', 'hiểu', 'được,', 'làm', 'sao', 'để', 'tôn', 'trọng', 'lẫn', 'nhau']"
Nhưng bắt buộc chúng ta phải bắt đầu ...,"['Nhưng', 'bắt', 'buộc', 'chúng', 'ta', 'phải', 'bắt', 'đầu', '...']"
Xin cho tôi biết là tôi sẽ có thứ gì đó để trình ra... hơn là một đống hóa đơn ngoài giờ.,"['Xin', 'cho', 'tôi', 'biết', 'là', 'tôi', 'sẽ', 'có', 'thứ', 'gì', 'đó', 'để', 'trình', 'ra...', 'hơn', 'là', 'một', 'đống', 'hóa', 'đơn', 'ngoài', 'giờ.']"
- Đừng có nắm chân ta nữa!,"['-', 'Đừng', 'có', 'nắm', 'chân', 'ta', 'nữa!']"
Anh biết gì về tàu của họ.,"['Anh', 'biết', 'gì', 'về', 'tàu', 'của', 'họ.']"
Tôi nhớ là nó lơn hơn thì phải.,"['Tôi', 'nhớ', 'là', 'nó', 'lơn', 'hơn', 'thì', 'phải.']"
"Không, hát gì đó về phụ nữ đi.","['Không,', 'hát', 'gì', 'đó', 'về', 'phụ', 'nữ', 'đi.']"
Hay anh lại quên lúc trước em vừa cứu mạng anh?,"['Hay', 'anh', 'lại', 'quên', 'lúc', 'trước', 'em', 'vừa', 'cứu', 'mạng', 'anh?']"
Hoàng đế rất hân hoan mang đến cho nhân dân Ngài... lũ chiến binh man rợ này!,"['Hoàng', 'đế', 'rất', 'hân', 'hoan', 'mang', 'đến', 'cho', 'nhân', 'dân', 'Ngài...', 'lũ', 'chiến', 'binh', 'man', 'rợ', 'này!']"
Và tôi thực sự xin lỗi vì là một người đã ở trong cuộc.,"['Và', 'tôi', 'thực', 'sự', 'xin', 'lỗi', 'vì', 'là', 'một', 'người', 'đã', 'ở', 'trong', 'cuộc.']"
"Phải, chúng ta vừa giao gã Lynches và giờ lại chung vô tù ngồi","['Phải,', 'chúng', 'ta', 'vừa', 'giao', 'gã', 'Lynches', 'và', 'giờ', 'lại', 'chung', 'vô', 'tù', 'ngồi']"
"Ông cảm thấy thế nào, thượng nghị sĩ?","['Ông', 'cảm', 'thấy', 'thế', 'nào,', 'thượng', 'nghị', 'sĩ?']"
Đó là nghi binh mục tiêu vẫn còn trong container,"['Đó', 'là', 'nghi', 'binh', 'mục', 'tiêu', 'vẫn', 'còn', 'trong', 'container']"
Tại sao lại có tên ăn mày vào đây?,"['Tại', 'sao', 'lại', 'có', 'tên', 'ăn', 'mày', 'vào', 'đây?']"
Tôi chỉ muốn chuyện này không ảnh hưởng tới cuộc sống của tôi.,"['Tôi', 'chỉ', 'muốn', 'chuyện', 'này', 'không', 'ảnh', 'hưởng', 'tới', 'cuộc', 'sống', 'của', 'tôi.']"
Bởi vì tôi có một hàng trong siêu thị với một con chip và máy PIN.,"['Bởi', 'vì', 'tôi', 'có', 'một', 'hàng', 'trong', 'siêu', 'thị', 'với', 'một', 'con', 'chip', 'và', 'máy', 'PIN.']"
"nhưng khi nói thẳng, thì tên sát thủ cuối cùng cũng lộ rõ bản chất của hắn thôi.","['nhưng', 'khi', 'nói', 'thẳng,', 'thì', 'tên', 'sát', 'thủ', 'cuối', 'cùng', 'cũng', 'lộ', 'rõ', 'bản', 'chất', 'của', 'hắn', 'thôi.']"
"Phải rồi, em nên đi xem họ diễn live.","['Phải', 'rồi,', 'em', 'nên', 'đi', 'xem', 'họ', 'diễn', 'live.']"
"tôi chỉ biết rằng tôi sẽ có 15,000đô nếu cô ấy phải hầu tòa vào ngày mai.","['tôi', 'chỉ', 'biết', 'rằng', 'tôi', 'sẽ', 'có', '15,000đô', 'nếu', 'cô', 'ấy', 'phải', 'hầu', 'tòa', 'vào', 'ngày', 'mai.']"
Điều đó tốt cho sức khoẻ của nó đấy.,"['Điều', 'đó', 'tốt', 'cho', 'sức', 'khoẻ', 'của', 'nó', 'đấy.']"
Và tôi biết cách vận hành tốt nhất.,"['Và', 'tôi', 'biết', 'cách', 'vận', 'hành', 'tốt', 'nhất.']"
"Anh không được lựa chọn, Tất nhiên là tôi tin anh rồi.","['Anh', 'không', 'được', 'lựa', 'chọn,', 'Tất', 'nhiên', 'là', 'tôi', 'tin', 'anh', 'rồi.']"
May mắn chút nào với công ty thang máy không?,"['May', 'mắn', 'chút', 'nào', 'với', 'công', 'ty', 'thang', 'máy', 'không?']"
Sunnyside sẽ rất tuyệt vời nếu chúng ta đối xử với nhau công bằng.,"['Sunnyside', 'sẽ', 'rất', 'tuyệt', 'vời', 'nếu', 'chúng', 'ta', 'đối', 'xử', 'với', 'nhau', 'công', 'bằng.']"
"Này, cũng nên cảm ơn nhưng ""tên"" kia chứ?","['Này,', 'cũng', 'nên', 'cảm', 'ơn', 'nhưng', '""tên""', 'kia', 'chứ?']"
Bởi vì người đó tôi chỉ với cậu đó là người mà tôi thật sự là,"['Bởi', 'vì', 'người', 'đó', 'tôi', 'chỉ', 'với', 'cậu', 'đó', 'là', 'người', 'mà', 'tôi', 'thật', 'sự', 'là']"
"Các cậu biết không, theo kiểu tóc giả.","['Các', 'cậu', 'biết', 'không,', 'theo', 'kiểu', 'tóc', 'giả.']"
"Honey, Walk of Fame không phải là 1 thầy giáo, nó là 1 cãi bậy cho những du khách thôi.","['Honey,', 'Walk', 'of', 'Fame', 'không', 'phải', 'là', '1', 'thầy', 'giáo,', 'nó', 'là', '1', 'cãi', 'bậy', 'cho', 'những', 'du', 'khách', 'thôi.']"
Ta sẽ ngạc nhiên nếu con ko thấy.,"['Ta', 'sẽ', 'ngạc', 'nhiên', 'nếu', 'con', 'ko', 'thấy.']"
hay tôi gợi ý vở Hamlet được không,"['hay', 'tôi', 'gợi', 'ý', 'vở', 'Hamlet', 'được', 'không']"
"Con gái ngài, Malena là một con điếm hầu như đã ngủ hết với thị trấn này rồi.","['Con', 'gái', 'ngài,', 'Malena', 'là', 'một', 'con', 'điếm', 'hầu', 'như', 'đã', 'ngủ', 'hết', 'với', 'thị', 'trấn', 'này', 'rồi.']"
"Cho nên, tất cả những gì tôi cần, là tiền từ ngân hàng để làm quả tên lửa này.","['Cho', 'nên,', 'tất', 'cả', 'những', 'gì', 'tôi', 'cần,', 'là', 'tiền', 'từ', 'ngân', 'hàng', 'để', 'làm', 'quả', 'tên', 'lửa', 'này.']"
Chúng tôi cũng chưa có được số liệu cụ thể.,"['Chúng', 'tôi', 'cũng', 'chưa', 'có', 'được', 'số', 'liệu', 'cụ', 'thể.']"
Mày không được đưa đứa bé nào đi hết.,"['Mày', 'không', 'được', 'đưa', 'đứa', 'bé', 'nào', 'đi', 'hết.']"
"Chiến binh 3, màn 1, chiến thắng.","['Chiến', 'binh', '3,', 'màn', '1,', 'chiến', 'thắng.']"
"này, Ông bực bội vì cái gì chứ?","['này,', 'Ông', 'bực', 'bội', 'vì', 'cái', 'gì', 'chứ?']"
Vé xem nhóm Người Xanh biểu diễn...,"['Vé', 'xem', 'nhóm', 'Người', 'Xanh', 'biểu', 'diễn...']"
Nhưng tôi không thể giúp gì được.,"['Nhưng', 'tôi', 'không', 'thể', 'giúp', 'gì', 'được.']"
"lẽ ra em không nên chạy trốn, nhưng...","['lẽ', 'ra', 'em', 'không', 'nên', 'chạy', 'trốn,', 'nhưng...']"
Tao hơi xui xẻo rồi Những đứa còn lại đâu?,"['Tao', 'hơi', 'xui', 'xẻo', 'rồi', 'Những', 'đứa', 'còn', 'lại', 'đâu?']"
"Xe bọc thép, được bảo vệ bằng cựu binh của Iraq","['Xe', 'bọc', 'thép,', 'được', 'bảo', 'vệ', 'bằng', 'cựu', 'binh', 'của', 'Iraq']"
Cô đạt được thỏa thuận rồi đó.,"['Cô', 'đạt', 'được', 'thỏa', 'thuận', 'rồi', 'đó.']"
Tôi muốn phần lớn số tiền được bỏ vào trương mục này.,"['Tôi', 'muốn', 'phần', 'lớn', 'số', 'tiền', 'được', 'bỏ', 'vào', 'trương', 'mục', 'này.']"
" Bác sĩ, ông không sao chứ?","['Bác', 'sĩ,', 'ông', 'không', 'sao', 'chứ?']"
Gọi cho tôi nếu anh tìm thấy gì đó.,"['Gọi', 'cho', 'tôi', 'nếu', 'anh', 'tìm', 'thấy', 'gì', 'đó.']"
"xin lỗi, làm anh thức giấc àh?","['xin', 'lỗi,', 'làm', 'anh', 'thức', 'giấc', 'àh?']"
"Ba chỉ muốn nói với con, chuyện con đã làm thật sự tốt.","['Ba', 'chỉ', 'muốn', 'nói', 'với', 'con,', 'chuyện', 'con', 'đã', 'làm', 'thật', 'sự', 'tốt.']"
Cha nghĩ có bao nhiêu cách trừ tà hữu dụng?,"['Cha', 'nghĩ', 'có', 'bao', 'nhiêu', 'cách', 'trừ', 'tà', 'hữu', 'dụng?']"
Nó bị bắn chết hai tháng trước.,"['Nó', 'bị', 'bắn', 'chết', 'hai', 'tháng', 'trước.']"
"Thế giới chúng ta đang sống thật bé nhỏ, phải không?","['Thế', 'giới', 'chúng', 'ta', 'đang', 'sống', 'thật', 'bé', 'nhỏ,', 'phải', 'không?']"
Máy quay tại trạm cho thấy hắn xuất hiện.,"['Máy', 'quay', 'tại', 'trạm', 'cho', 'thấy', 'hắn', 'xuất', 'hiện.']"
"Đúng thế, em nên nhượng bộ đi.","['Đúng', 'thế,', 'em', 'nên', 'nhượng', 'bộ', 'đi.']"
"Nhưng con và dì, chúng ta có cuộc sống riêng, có kế hoạch riêng.","['Nhưng', 'con', 'và', 'dì,', 'chúng', 'ta', 'có', 'cuộc', 'sống', 'riêng,', 'có', 'kế', 'hoạch', 'riêng.']"
Tôi muốn bảo lãnh cho chồng tôi.,"['Tôi', 'muốn', 'bảo', 'lãnh', 'cho', 'chồng', 'tôi.']"
Hãy nói tôi không bình thường đi.,"['Hãy', 'nói', 'tôi', 'không', 'bình', 'thường', 'đi.']"
Ra đây nào đồ quái dị !,"['Ra', 'đây', 'nào', 'đồ', 'quái', 'dị', '!']"
Hô hào mớ lạc quan vớ vẩn.,"['Hô', 'hào', 'mớ', 'lạc', 'quan', 'vớ', 'vẩn.']"
Anh nghĩ chúng ta sẽ có được bàn.,"['Anh', 'nghĩ', 'chúng', 'ta', 'sẽ', 'có', 'được', 'bàn.']"
"Nếu thần biết Bệ hạ đang tìm kiếm sự giúp đỡ,","['Nếu', 'thần', 'biết', 'Bệ', 'hạ', 'đang', 'tìm', 'kiếm', 'sự', 'giúp', 'đỡ,']"
"Có, và anh nên nhìn phía sau ngay bây giờ.","['Có,', 'và', 'anh', 'nên', 'nhìn', 'phía', 'sau', 'ngay', 'bây', 'giờ.']"
"Vậy, đây là nơi cô trú tạm?","['Vậy,', 'đây', 'là', 'nơi', 'cô', 'trú', 'tạm?']"
"Khoan, chính xác thì chúng ta sẽ đi vào tiềm thức của ai vậy?","['Khoan,', 'chính', 'xác', 'thì', 'chúng', 'ta', 'sẽ', 'đi', 'vào', 'tiềm', 'thức', 'của', 'ai', 'vậy?']"
Ở vô tận và xa hơn nữa.,"['Ở', 'vô', 'tận', 'và', 'xa', 'hơn', 'nữa.']"
tín hiệu sẽ tự đợng truyền đến chúng tôi.,"['tín', 'hiệu', 'sẽ', 'tự', 'đợng', 'truyền', 'đến', 'chúng', 'tôi.']"
"Tất cả các quyền, ở đây chúng tôi đi ...","['Tất', 'cả', 'các', 'quyền,', 'ở', 'đây', 'chúng', 'tôi', 'đi', '...']"
Cô cũng đã quen đường trong suốt thời gian qua rồi.,"['Cô', 'cũng', 'đã', 'quen', 'đường', 'trong', 'suốt', 'thời', 'gian', 'qua', 'rồi.']"
Chuyển cái đống đèn lồng bên phải sang phải chút nữa.,"['Chuyển', 'cái', 'đống', 'đèn', 'lồng', 'bên', 'phải', 'sang', 'phải', 'chút', 'nữa.']"
"Trên con ngựa trắng đó, thì cũng như một tuần.","['Trên', 'con', 'ngựa', 'trắng', 'đó,', 'thì', 'cũng', 'như', 'một', 'tuần.']"
Sao anh lại giúp cậu nhóc kia?,"['Sao', 'anh', 'lại', 'giúp', 'cậu', 'nhóc', 'kia?']"
"- Cưng ơi, em đang làm gì thế?","['-', 'Cưng', 'ơi,', 'em', 'đang', 'làm', 'gì', 'thế?']"
Nó chỉ làm đứa bé tổn thương.,"['Nó', 'chỉ', 'làm', 'đứa', 'bé', 'tổn', 'thương.']"
"Bây giờ, con bé thấy thế giới này thật tươi sáng và tràn ngập hy vọng.","['Bây', 'giờ,', 'con', 'bé', 'thấy', 'thế', 'giới', 'này', 'thật', 'tươi', 'sáng', 'và', 'tràn', 'ngập', 'hy', 'vọng.']"
Khi mặt cô bị găm đầy mảnh kính ... cảm giác rất đau.,"['Khi', 'mặt', 'cô', 'bị', 'găm', 'đầy', 'mảnh', 'kính', '...', 'cảm', 'giác', 'rất', 'đau.']"
- Chúng ta có thể làm nhanh không?,"['-', 'Chúng', 'ta', 'có', 'thể', 'làm', 'nhanh', 'không?']"
Ta làm ấm người tại nhà em ngay bây giờ đi.,"['Ta', 'làm', 'ấm', 'người', 'tại', 'nhà', 'em', 'ngay', 'bây', 'giờ', 'đi.']"
Bảo vệ công dân New York chống lại cái ác.,"['Bảo', 'vệ', 'công', 'dân', 'New', 'York', 'chống', 'lại', 'cái', 'ác.']"
con có muốn biết hình thức kinh doanh của bố không?,"['con', 'có', 'muốn', 'biết', 'hình', 'thức', 'kinh', 'doanh', 'của', 'bố', 'không?']"
Trò ko thể nán lại một hai phút sao.,"['Trò', 'ko', 'thể', 'nán', 'lại', 'một', 'hai', 'phút', 'sao.']"
và đó cũng là ý của anh.,"['và', 'đó', 'cũng', 'là', 'ý', 'của', 'anh.']"
Ta đã theo dõi đội thương lữ đó lâu rồi.,"['Ta', 'đã', 'theo', 'dõi', 'đội', 'thương', 'lữ', 'đó', 'lâu', 'rồi.']"
"Có vẻ như rất tệ -không đâu, phần tệ nhất","['Có', 'vẻ', 'như', 'rất', 'tệ', '-không', 'đâu,', 'phần', 'tệ', 'nhất']"
"Cái gì đưa cháu đến đây vậy, Ree?","['Cái', 'gì', 'đưa', 'cháu', 'đến', 'đây', 'vậy,', 'Ree?']"
Cô cần biết ta sẽ không bao giờ bỏ cuộc đâu.,"['Cô', 'cần', 'biết', 'ta', 'sẽ', 'không', 'bao', 'giờ', 'bỏ', 'cuộc', 'đâu.']"
Tôi không phải kẻ thất bại Tôi có đồng xu thật ở đây,"['Tôi', 'không', 'phải', 'kẻ', 'thất', 'bại', 'Tôi', 'có', 'đồng', 'xu', 'thật', 'ở', 'đây']"
Có ai biết tàu vũ trụ của tôi đâu không,"['Có', 'ai', 'biết', 'tàu', 'vũ', 'trụ', 'của', 'tôi', 'đâu', 'không']"
"Nhưng đó đều là do máy tính tạo ra... mã điện tử, các phương pháp mã hóa điện tử.","['Nhưng', 'đó', 'đều', 'là', 'do', 'máy', 'tính', 'tạo', 'ra...', 'mã', 'điện', 'tử,', 'các', 'phương', 'pháp', 'mã', 'hóa', 'điện', 'tử.']"
- Cảm ơn cậu đã ở đây,"['-', 'Cảm', 'ơn', 'cậu', 'đã', 'ở', 'đây']"
nó không bao giờ có thể chia lìa khỏi ba chú mèo con những người đã thay đổi trái tim của nó.,"['nó', 'không', 'bao', 'giờ', 'có', 'thể', 'chia', 'lìa', 'khỏi', 'ba', 'chú', 'mèo', 'con', 'những', 'người', 'đã', 'thay', 'đổi', 'trái', 'tim', 'của', 'nó.']"
"Tôi muốn nói, cô muốn khuếch trương, tốt thôi.","['Tôi', 'muốn', 'nói,', 'cô', 'muốn', 'khuếch', 'trương,', 'tốt', 'thôi.']"
Tôi thiên về những gì ông chủ tịch Lý nói.,"['Tôi', 'thiên', 'về', 'những', 'gì', 'ông', 'chủ', 'tịch', 'Lý', 'nói.']"
Tìm hiểu xem cô ta là ai,"['Tìm', 'hiểu', 'xem', 'cô', 'ta', 'là', 'ai']"
Mẹ Andy tưởng mọi người là rác mà.,"['Mẹ', 'Andy', 'tưởng', 'mọi', 'người', 'là', 'rác', 'mà.']"
Tôi ra đây vì anh và tôi đang hỏi anh.,"['Tôi', 'ra', 'đây', 'vì', 'anh', 'và', 'tôi', 'đang', 'hỏi', 'anh.']"
Giờ anh chuồn cửa sau với người phụ nữ này sao!,"['Giờ', 'anh', 'chuồn', 'cửa', 'sau', 'với', 'người', 'phụ', 'nữ', 'này', 'sao!']"
Tôi không biết là còn người ở đây.,"['Tôi', 'không', 'biết', 'là', 'còn', 'người', 'ở', 'đây.']"
"Mày đừng làm hỏng nó, làm ơn.","['Mày', 'đừng', 'làm', 'hỏng', 'nó,', 'làm', 'ơn.']"
Anh không thể bắt mình quay lại ngay như lúc trước trong một sớm một chiều được.,"['Anh', 'không', 'thể', 'bắt', 'mình', 'quay', 'lại', 'ngay', 'như', 'lúc', 'trước', 'trong', 'một', 'sớm', 'một', 'chiều', 'được.']"
có lẽ tôi sẽ gọi cảnh sát.,"['có', 'lẽ', 'tôi', 'sẽ', 'gọi', 'cảnh', 'sát.']"
Cách duy nhất để đi khỏi hòn đảo này là đến bến phà,"['Cách', 'duy', 'nhất', 'để', 'đi', 'khỏi', 'hòn', 'đảo', 'này', 'là', 'đến', 'bến', 'phà']"
"Tôi...có thể sửa xong trong khoảng 1 giờ, hay 2.","['Tôi...có', 'thể', 'sửa', 'xong', 'trong', 'khoảng', '1', 'giờ,', 'hay', '2.']"
Hàng x óm ông ta là ai?,"['Hàng', 'x', 'óm', 'ông', 'ta', 'là', 'ai?']"
Bảo Marcellus cho mọi người sẵn sàng.,"['Bảo', 'Marcellus', 'cho', 'mọi', 'người', 'sẵn', 'sàng.']"
"chúa ơi- thằng khốn đó nhanh quá - đơn vị 14, chúng tôi có 1 cảnh sát bị thương.","['chúa', 'ơi-', 'thằng', 'khốn', 'đó', 'nhanh', 'quá', '-', 'đơn', 'vị', '14,', 'chúng', 'tôi', 'có', '1', 'cảnh', 'sát', 'bị', 'thương.']"
"Tôi sẽ uống aspirin, rồi đi ngủ.","['Tôi', 'sẽ', 'uống', 'aspirin,', 'rồi', 'đi', 'ngủ.']"
Xin lỗi tôi có thể giúp gì không?,"['Xin', 'lỗi', 'tôi', 'có', 'thể', 'giúp', 'gì', 'không?']"
Và có lẽ phải bắt đầu làm việc từ trên mái nhà.,"['Và', 'có', 'lẽ', 'phải', 'bắt', 'đầu', 'làm', 'việc', 'từ', 'trên', 'mái', 'nhà.']"
Từ bất cứ nguồn thông tin nào khác ngoài khả năng đặc biệt của bà.,"['Từ', 'bất', 'cứ', 'nguồn', 'thông', 'tin', 'nào', 'khác', 'ngoài', 'khả', 'năng', 'đặc', 'biệt', 'của', 'bà.']"
"Lạy trời, Marie, em đâu có nói ""cốc, cốc"" mà... kiểu vầy nè.","['Lạy', 'trời,', 'Marie,', 'em', 'đâu', 'có', 'nói', '""cốc,', 'cốc""', 'mà...', 'kiểu', 'vầy', 'nè.']"
Tại sao chúng lại tấn công Hank chứ?,"['Tại', 'sao', 'chúng', 'lại', 'tấn', 'công', 'Hank', 'chứ?']"
Nhưng nếu mày nghĩ là chúng đánh hơi được điều gì...,"['Nhưng', 'nếu', 'mày', 'nghĩ', 'là', 'chúng', 'đánh', 'hơi', 'được', 'điều', 'gì...']"
Tôi nghĩ củ khoai tây này cần phải được học cách cư xử cho phải phép,"['Tôi', 'nghĩ', 'củ', 'khoai', 'tây', 'này', 'cần', 'phải', 'được', 'học', 'cách', 'cư', 'xử', 'cho', 'phải', 'phép']"
- Tôi vô địch môn lặn khi học trung học đấy,"['-', 'Tôi', 'vô', 'địch', 'môn', 'lặn', 'khi', 'học', 'trung', 'học', 'đấy']"
Lũ Tàu bọn bay cũng gan phết,"['Lũ', 'Tàu', 'bọn', 'bay', 'cũng', 'gan', 'phết']"
Tôi muốn cô biết rằng thành phố này có rất nhiều kẻ nhiều chuyện... họ nói xấu cô...,"['Tôi', 'muốn', 'cô', 'biết', 'rằng', 'thành', 'phố', 'này', 'có', 'rất', 'nhiều', 'kẻ', 'nhiều', 'chuyện...', 'họ', 'nói', 'xấu', 'cô...']"
"- không - phải thật sự, thật sự chắc chắn....","['-', 'không', '-', 'phải', 'thật', 'sự,', 'thật', 'sự', 'chắc', 'chắn....']"
Lotso gạt cái nút của Buzz sang chế độ thử nghiệm,"['Lotso', 'gạt', 'cái', 'nút', 'của', 'Buzz', 'sang', 'chế', 'độ', 'thử', 'nghiệm']"
"Dường như bả không nhận ra Mẹ, con gái.","['Dường', 'như', 'bả', 'không', 'nhận', 'ra', 'Mẹ,', 'con', 'gái.']"
"Đây là Becky Barnes, đài phát thanh WNYU, và tôi hy vọng âm nhạc luôn bên các bạn.","['Đây', 'là', 'Becky', 'Barnes,', 'đài', 'phát', 'thanh', 'WNYU,', 'và', 'tôi', 'hy', 'vọng', 'âm', 'nhạc', 'luôn', 'bên', 'các', 'bạn.']"
